# 01 品牌小主機、AIO｜VR虛擬  (報價日期 2026/9/18 14:19)
# price	id	flags	name

## NVIDIA DGX Spark
3990	3		ASUS Ascent QSFP 連接線【現貨】
3990	4		GIGABYTE AI TOP NVIDIA ConnectX-7 連接線【現貨】
3990	5		MSI EdgeXpert QSFP 連接線【現貨】
5250	6		NVIDIA DGX Spark Cable 40 CM ConnectX-7 連接線【現貨】
175900	7		ASUS Ascent GX10 GB10 / 128G / Gen4 1TB SSD【現貨】
245900	8		ASUS Ascent GX10 GB10 / 128G / Gen5 4TB SSD【現貨】
209900	9		MSI EdgeXpert GB10 / 128G / Gen5 4TB SSD【現貨】
199500	10		NVIDIA DGX Spark GB10 / 128G / Gen4 4TB SSD【現貨】
210000	12		ALTOS BrainSphere GB10 F1 GB10 / 128G / Gen4 4TB SSD【現貨】
239000	13		GIGABYTE AI TOP ATOM G4 GB10 / 128G / Gen4 4TB SSD【現貨】

## 微星 MSI 限量大全套
62990	15		微星魔龍姬-大全配(B850主機板/5070TI顯卡/850W電源/360水冷/主題機殼/魔龍姬公仔)

## 華碩 ASUS 品牌主機專區
50990	19		｛ASUS ROG GM700TZ-R9800X149W｝R7 9800X3D / 16G / 1T / 850W電供 / 水冷
199990	20	訂購	｛ASUS ROG GM1000TY-R9800X009X8｝9800X3D / 32G / 2T / 5080 / 1000W電供【訂】
39990(原46990)	23	價格異動 下殺	｛ASUS H-T500MV-13420H269W6｝i5-13420H / 16G / 1T / WIN11 / 5060 / 330W電供▼下殺到 9/20 23:59
32900	24		｛ASUS H-T500MV-05210H111W5｝C5 210H / 16G / 512G / WIN11 / 3050 / 330W電供
39990	25		｛ASUS H-T500MV-05210H151W55｝C5 210H / 16G / 1T / WIN11 / 5050 / 330W電供
44888	26		｛ASUS H-T500MV-05210H015W6T｝C5 210H / 16G / 1T / WIN11 / 5060Ti / 500W電供
16990	28		｛ASUS H-V501MV-03100U0250A｝C3 100U / 8G / 512G / NON-OS / 白 / 180W電供
19990	29		｛ASUS H-V501MV-03100U010WB｝C3 100U / 8G / 512G / WIN11 / 黑 / 180W電供
20990	30		｛ASUS H-V501MV-05210H0480B｝C5 210H / 8G / 1T / NON-OS / 黑 / 330W電供
23990(原25888)	31	價格異動 下殺	｛ASUS H-V501MV-05210H115WB｝C5 210H / 16G / 512G / WIN11 / 黑 / 330W電供▼下殺到 9/20 23:59
36990	32		｛ASUS H-V501MV-09270H003WB｝C9 270H / 16G / 1T / WIN11 / 黑 / 330W電供
44990	33		｛ASUS H-V501MV-09270H003WB｝+ 華碩 DUAL-RTX5060-O8G-A
36990	35		｛ASUS H-V501MV-09270H001XB｝C9 270H / 16G / 1T / WIN11 P / 黑 / 330W電供
39990	36		｛ASUS H-V501MV-09270H002XA｝C9 270H / 16G / 1T / WIN11 P / 白 / 330W電供
33990	38		｛ASUS H-S500TER-514500036W｝i5-14500 / 16G / 512G / WIN11 / 500W電供
34990(原35990)	39	價格異動 下殺	｛ASUS H-S500TER-514500002X｝i5-14500 / 8G / 512G / WIN11 P / 500W電供▼下殺到 9/30 23:59

## 微星 MSI 電競主機專區
48900	43		｛MSI Infinite S3 14NVN5 3484TW｝i5-14400F / 16G / 1T / WIN11 / RTX 5060
54900	44		｛MSI Infinite S3 14NVN5 3483TW｝i5-14400F / 32G / 1T / WIN11 / RTX 5060
59900	45		｛MSI Infinite S3 14NVN7 3482TW｝i7-14700F / 32G / 1T / WIN11 / RTX 5060
52900	47		｛MSI Infinite S AI 2NVM5 024TW｝U5 225F / 16G / 1T / WIN11 / RTX 5060 Ti 8G
69900	48		｛MSI Infinite S AI 2 015TW｝U7 265F / 16G / 1T / WIN11 + RTX 5060 Ti 16G
109900	50	訂購	｛MSI Infinite Z3 7NVRR7 671TW｝R7 7800X3D / 32G / 2T / WIN11 / RTX 5070Ti【訂】

## 技嘉 Gigabyte 主機專區
51900	52		｛技嘉 AORUS PRIME 3 AP3A5N6-5104｝ R5 9500F / 16G / 1T / WIN11 / 5060
109000	54		｛技嘉 AORUS PRIME 5 AP5A7N7T-5100｝R7 9700X / 32G / 2T / WIN11 / 5070Ti
