# 02 筆電｜平板｜穿戴配件  (報價日期 2026/9/21 14:51)
# price	id	flags	name

## PAD 智慧平板
17999	2		｛ASUS Pad T3201M5A｝雲朵白 / 12.2吋 / 聯發科 MT8792Z 八核 / 8G / 256G / WIFI
4990	3		｛Lenovo TAB TB311FU｝北極藍 / 10.1吋 / 聯發科 G85 八核 / 4G / 128G / WIFI
8980	4		｛TCL NXTPAPER 11 Plus｝鈦金灰 / 11.5吋 / 聯發科 G100 八核 / 12G / 256G / WIFI
11980	5		｛TCL NXTPAPER 14｝星鑽灰 / 14.3吋 / 聯發科 MT8781 八核 / 8+8G / 256G / WIFI

## 遊戲掌機
490	7		｛ASUS ROG LPR01｝電源延長線 1.5M 相容ROG ALLY / 部分 ROG筆電
688	8		｛ASUS ROG LCR50｝240W USB-C to C 充電線 / 編織線 / 1.5米
3390	9		｛ASUS ROG AC140-01｝140W GaN四孔充電器 1A3C + C to C 充電線
4290	10		｛ASUS ROG Bulwark Dock DG300｝USB(10G*3A1C) / RJ-45 / HDMI2.1 七合一基座
1499	11		｛ASUS ROG XBOX ALLY TRAVEL CASE｝二合一收納保護包 / 防潑水
18999	12		｛ASUS ROG XBOX ALLY 白｝Ryzen Z2 A / 16G / 512G / Radeon / Wi-Fi 6E
32999	13		｛ASUS ROG XBOX ALLY X 黑｝Ryzen AI Z2 Extreme / 24G / 1T / Radeon / Wi-Fi 6E

## 筆電搭購電競周邊優惠專區
599	15		【筆電搭購優惠】｛Gigastone HUB-P7｝7合1 HUB
699	16		【筆電搭購優惠】｛Gigastone PD-7650W｝ 65W GaN三孔充電器
1049	17		【筆電搭購優惠】｛Gigastone PD-7100B+CC-7800B｝100W 四孔充電器 + C-C 100W線
1099	18		【筆電搭購優惠】｛Gigastone PD-130B+CC-100｝130W 四孔充電器 + C-C 100W線
299	19		【筆電搭購優惠】｛Gigastone HC-2100｝Type-C to HDMI2.0 轉接線 / 4K60Hz / 1M
399	20		【筆電搭購優惠】｛Gigastone HC-2300｝Type-C to HDMI2.0 轉接線 / 4K60Hz / 2M
99	21		【筆電搭購優惠】｛Gigastone HH-2100｝HDMI 2.0 公-公 / 鍍金頭 / 認證 / 1.2米
169	22		【筆電搭購優惠】｛Gigastone HH-2300｝HDMI 2.0 公-公 / 鍍金頭 / 認證 / 2米

## 筆電展示出清專區 (保固憑發票購買日起算，展示機無七日新品瑕疵換新)

## ACER 筆電區
15400	25		【展示品】Acer Aspire Lite i5-1334U/8G/512G/14吋/銀｛AL14-52M-54QL｝省$1788
34000	26		【展示品】Acer Swift Air Ryzen AI 5 330/16G/1T/16吋/銀｛SFA16-61M-R43W｝省$3900
31900	27		【展示品】Acer Swift Lite /U7-155U/32G/512G/14吋/幻境粉｛SFL14-54M-73E9｝省$4000
30000	28		【維修品】Acer Swift Edge /R7-7735U/16G/512G/16吋/極光銀 ｛SFE16-42-R260｝省$7900
31500	29		【展示品】Acer Nitro Lite i5-13420H/RTX4050/16G/512G/16吋/白｛NL16-71G-56ZT｝省$3400
64900	30		【展示品】Acer Nitro R9-365/RTX5070/32G/1T/16吋/黑｛AN16S-61-R23D｝省$6500
35900	31		【展示品】Acer Nitro V R5-8645HS/RTX4050/16G/512G/14.5吋/白｛ANV14-61-R74R｝省$4000
40500	32		【展示品】Acer Nitro V Core 5-210H/RTX5060/16G/512G/15.6吋/黑｛ANV15-52-52CL｝省$4400

## 技嘉 筆電區

## LENOVO 筆電區
23500	35		【展示品】Lenovo IdeaPad 5 /i5-13420H/16G/1T/14吋/灰｛83HR001HTW｝省$1490

## 華碩 筆電區
31900	37		【展示品】華碩 Vivobook Ultra 5-226V/16G/512G/14吋 玫瑰金 S5406SA 省$3000
