# 03 酷！PC 套裝產線  (報價日期 2026/9/18 9:33)
# price	id	flags	name

## 套裝必搭優惠專區
4299	2	限購	【套裝加購1台限購1】海盜船 Vengeance 16G D4-3200 (CMK16GX4M1E3200C16)
8500	3	限購	【套裝加購1台限購1】海盜船 Vengeance 16G D5-6000 (CMK16GX5M1E6000Z36)
2890	4		微星 戰略組合包(GK20鍵盤+Versa 300無線滑鼠+GD21鼠墊+Maestro 300耳機)原價5109
1990	5		【套裝搭購優惠】羅技 G512 機械式鍵盤
1690	6		【套裝搭購優惠】羅技 G502 X 高效能電競滑鼠
499	7		【套裝搭購優惠】羅技 MK200 USB鍵盤滑鼠組
499	8		【套裝搭購優惠】TP-LINK Archer TX10UB Nano (AX900 / Wi-Fi 6 / Wi-Fi 藍牙5.3 二合一)
1190	9		【套裝搭購優惠】TP-LINK Archer TBE400E ( BE6500 / Wi-Fi 7 / 雙天線 / 藍牙5.4 / PCI-E)
1399	10		【套裝搭購優惠】華碩 PCE-BE6500 (BE6500 / Wi-Fi 7 / 雙天線 / 支援三頻＆藍牙5.4 / PCI-E)
1499	11		【套裝搭購優惠】華碩 USB-BE92 Nano (BE6500 / Wi-Fi 7 /三頻 / 隱藏天線 / 三年換新)

## 地平線六專案酷！PC【布加迪】【邁巴赫】【特斯拉】【麥拉倫】
56900	16		酷！PC【布加迪】R7 9800X3D/B850/32G DDR5/1TB SSD/RTX5060TI/850W電供
82900	17		酷！PC【布加迪】R7 9800X3D/B850/32G DDR5/1TB SSD/RTX5070TI/850W電供
41900	18		酷！PC【邁巴赫】R7 7800X3D/B850/16G DDR5/1TB SSD/RTX5060/650W電供
45400	19		酷！PC【邁巴赫】R7 7800X3D/B850/16G DDR5/1TB SSD/RTX5060TI/650W電供
34900	21		酷！PC【特斯拉】R5 7500F/B850/16G DDR5/1TB SSD/RTX5060/650W電供
37100	22		酷！PC【特斯拉】R7 7700/B850/16G DDR5/1TB SSD/RTX5060/650W電供
38400	23		酷！PC【特斯拉】R5 7500F/B850/16G DDR5/1TB SSD/RTX5060TI/650W電供
40600	24		酷！PC【特斯拉】R7 7700/B850/16G DDR5/1TB SSD/RTX5060TI/650W電供
34900	25		酷！PC【麥拉倫】U5 225F/B860/16G DDR5/1TB SSD/RTX5060/650W電供
38400	26		酷！PC【麥拉倫】U5 225F/B860/16G DDR5/1TB SSD/RTX5060TI/650W電供

## 極致美背無極線！酷！PC 背插系列主機
52900	33		酷！PC【賽博Omni】R7 7700/B850/32G DDR5/1TB SSD/RX9060XT/750W電供
56200	34		酷！PC【賽博Omni】R7 7800X3D/B850/32G DDR5/1TB SSD/RX9060XT/750W電供
61200	35		酷！PC【賽博Omni】R7 9800X3D/B850/32G DDR5/1TB SSD/RX9060XT/750W電供
63900	36		酷！PC【賽博Omni】R7 7700/B850/32G DDR5/1TB SSD/RX9070XT/750W電供
67200	37		酷！PC【賽博Omni】R7 7800X3D/B850/32G DDR5/1TB SSD/RX9070XT/750W電供
72200	38		酷！PC【賽博Omni】R7 9800X3D/B850/32G DDR5/1TB SSD/RX9070XT/750W電供
