# 04 處理器 CPU  (報價日期 2026/9/21 14:51)
# price	id	flags	name

## Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】
4880	2		｛Intel Core Ultra 5 225F｝【10核】3.3G(↑4.9G) /20M /無內顯【代理盒裝】
5800	3		｛Intel Core Ultra 5 225｝【10核】3.3G(↑4.9G) /20M /內顯Xe-core【代理盒裝】
5280	4	組裝價	｛Intel Core Ultra 5 225｝【10核】3.3G(↑4.9G) /20M /內顯Xe-core【代理盒裝】~組裝價~
6300	5		｛Intel Core Ultra 5 245KF｝【14核】4.2G(↑5.2G) /24M /無內顯 /無風扇【代理盒裝】
7990	6		｛Intel Core Ultra 5 250KF Plus｝【18核】4.2G(↑5.3G) /30M /無內顯 /無風扇【代理盒裝】
8250	7	熱賣	｛Intel Core Ultra 5 250K Plus｝【18核】4.2G(↑5.3G) /30M /內顯Xe-core /無風扇【代理盒裝】
10300	8		｛Intel Core Ultra 7 265K｝【20核】3.9G(↑5.4G) /30M /內顯Xe-core /無風扇【代理盒裝】
12200	9	熱賣	｛Intel Core Ultra 7 270K Plus｝【24核】3.7G(↑5.4G) /36M /內顯Xe-core /無風扇【代理盒裝】
21500	10		｛Intel Core Ultra 9 285K｝【24核】3.7G(↑5.7G) /36M /內顯Xe-core /無風扇【代理盒裝】

## Intel Raptor Lake-s 14代1700 腳位
4800	12		｛Intel i3-14100｝【4核/8緒】3.5GHz(↑4.7GHz) /12M /UHD730 /60W 【代理盒裝】
6250	13		｛Intel i5-14400F｝【10核/16緒】2.5GHz(↑4.7G) /20M /無內顯 /65W 【代理盒裝】
7250	14	熱賣	｛Intel i5-14400｝【10核/16緒】2.5GHz(↑4.7G) /20M /UHD730 /65W 【代理盒裝】
11800	15		｛Intel i7-14700｝【20核/28緒】2.1GHz(↑5.4G) /33M /UHD770 /65W 【代理盒裝】

## Intel Alder Lake-s 12代1700 腳位
6100	17		｛Intel i5-12400｝【6核/12緒】2.5G(↑4.4G) /18M /UHD730 /65w 【代理盒裝】

## Intel Sapphire Rapids Xeon W 4677腳位 『適W790主板』
101600	19		｛Intel Xeon W7-3465X｝【28核/56緒】2.50GHz(↑4.8GHz) /75M /300W【代理盒裝】

## AMD AM4 腳位
2099	21		｛AMD R5 3400G｝代理盒裝【4核/8緒】3.7G(↑4.2G)65W /12nm /代理商三年保 /含內顯
4790	22	熱賣	｛AMD R5 5600X MPK｝(含風扇)【6核/12緒】3.7G(↑4.6G)代理商三年保
11790	23	熱賣	｛AMD R7 5800X3D｝十週年紀念版 AM4輝煌十載【8核/16緒】3.4G(↑4.5G)105W/7nm

## AMD AM5 7000系列
4790	25	熱賣	｛AMD R5 7500F MPK｝(含風扇)【6核/12緒】3.7G(↑5.0G)代理商三年保
4490	26	熱賣 搭板專案	[搭板專案 ]｛AMD R5 7500F MPK｝(含風扇)【6核/12緒】3.7G(↑5.0G)搭主機板省300
7190	27	熱賣	｛AMD R7 7700 MPK｝(代理含風扇)【8核/16緒】3.8G(↑5.3G)65W /具內顯 /代理商三年保
6740	28	熱賣 搭板專案	[搭板專案]｛AMD R7 7700 MPK｝(代理含風扇【8核/16緒】3.8G(↑5.3G)搭主機板省450
9990	29	熱賣	｛AMD R7 7800X3D Tray盤｝【8核/16緒】4.2G(↑5.0G)96M/120W/具內顯三年保

## AMD AM5 8000系列
4950	31	酷幣200	｛AMD R5 8400F盒｝【6核/12緒】4.2G(↑4.7G)65W
4450	32	搭板專案 酷幣200	｛AMD R5 8400F盒｝【6核/12緒】4.2G(↑4.7G)65W【任搭主機板】
5090	33		｛AMD R5 8500G盒｝【6核/12緒】3.5G(↑5.0G)65W /RDNA 3內顯 /新4奈米技術 /最低45W
6450	34		｛AMD R5 8600G盒｝【6核/12緒】4.3G(↑5.0G)65W /RDNA 3內顯 /內建NPU支持AI

## AMD AM5 9000系列
