# 07 固態硬碟 M.2｜SSD  (報價日期 2026/9/18 9:33)
# price	id	flags	name

## 2.5吋 SATA3 SSD固態硬碟
1399	2		｛UMAX S330 240GB｝/2.5吋/讀520/寫450/3D NAND Flash【三年保】
2400	3	熱賣	｛UMAX S330 480GB｝/2.5吋/讀560/寫450/3D NAND Flash【三年保】
1799	4		｛威剛 Ultimate SU650 240G｝/2.5吋/讀520/寫450/TLC顆粒【三年保】
2699	5		｛威剛 Ultimate SU650 480G｝/2.5吋/讀520/寫450/TLC顆粒【三年保】
1880	6		｛金士頓 A400 240G｝/2.5吋/讀500/寫350/TLC顆粒【三年保】
3400	7		｛金士頓 A400 480G｝/2.5吋/讀500/寫450/TLC顆粒【三年保】
5600	8		｛金士頓 A400 960G｝/2.5吋/讀500/寫450/TLC顆粒【三年保】
3100	9		｛金士頓 SKC600 256G｝/2.5吋/讀550/寫500/SMI/3D TLC【五年保】
2888	10		｛金士頓 SKC600 256G｝/2.5吋/讀550/寫500/SMI/3D TLC【五年保】~搭機價~
4700	11		｛金士頓 SKC600 512G｝/2.5吋/讀550/寫520/SMI/3D TLC【五年保】
4450	12		｛金士頓 SKC600 512G｝/2.5吋/讀550/寫520/SMI/3D TLC【五年保】~搭機價~
8300	13		｛金士頓 SKC600 1024G｝/2.5吋/讀550/寫520/SMI/3D TLC【五年保】
7550	14		｛金士頓 SKC600 1024G｝/2.5吋/讀550/寫520/SMI/3D TLC【五年保】~搭機價~
15800	15		｛金士頓 SKC600 2048G｝/2.5吋/讀550/寫520/SMI/3D TLC【五年保】
14500	16		｛金士頓 SKC600 2048G｝/2.5吋/讀550/寫520/SMI/3D TLC【五年保】~搭機價~
2699	17		｛致態 ZhiTai 致態小翼 S001 500GB｝/2.5吋/SATA 3/讀550/寫500【三年保】~送手機掛繩~
4499	18		｛致態 ZhiTai 致態小翼 S001 1TB｝/2.5吋/SATA 3/讀550/寫500【三年保】~送手機掛繩~
1790	20		｛十銓 T-Force Vulcan Z 火神Z 256G｝/2.5吋/讀520/寫450/3D NAND/TLC【三年保】
1790	21		宏碁｛Acer RE100 256GB｝/2.5吋/讀562/寫528/TLC【五年保】
2650	22		宏碁｛Acer RE100 512GB｝/2.5吋/讀562/寫529/TLC【五年保】
4390	23		宏碁｛Acer RE100 1TB｝/2.5吋/讀557/寫515/TLC【五年保】
8490	24		宏碁｛Acer RE100 2TB｝/2.5吋/讀557/寫515/TLC【五年保】
1709	25		美光 Micron Crucial｛BX500 240G｝/2.5吋讀540/寫500/TLC【三年保】
2475	26		美光 Micron Crucial｛BX500 500G｝/2.5吋讀540/寫500/TLC【三年保】
4500	27	限組裝	美光 Micron Crucial｛BX500 1TB｝/2.5吋/讀540/寫500/TLC【三年保】限組裝~
14700	28		美光 Micron Crucial｛BX500 4TB｝/2.5吋/讀540/寫500M/TLC【三年保】
4200	29		WD Blue｛SA510 500GB｝(藍標)/2.5吋/讀560/寫530/3D TLC顆粒【五年保】
7400	30		WD Blue｛SA510 1TB｝(藍標)/2.5吋/讀560/寫520/3D TLC顆粒【五年保】
28800	31		WD Blue｛SA510 4TB｝(藍標)/2.5吋/讀560/寫520/3D TLC顆粒【五年保】
7499	32		三星 Samsung｛870 EVO 500G｝/2.5吋/讀560/寫530/TLC【五年保】
10999	33		三星 Samsung｛870 EVO 1TB｝/2.5吋/讀560/寫530/TLC【五年保】
23699	34		三星 Samsung｛870 EVO 2TB｝/2.5吋/讀560/寫530/TLC【五年保】
47899	35		三星 Samsung｛870 EVO 4TB｝/2.5吋/讀560/寫530/TLC【五年保】
116999	36		三星 Samsung｛870 EVO 8TB｝/2.5吋/讀560/寫530/TLC【五年保】
56999	37		三星 Samsung｛870 QVO 8TB｝/2.5吋/讀:560/寫:530/QLC【三年保】

## M.2 PCIe 5.0 (Gen5) SSD固態硬碟
6450	39		鎧俠｛KIOXIA EXCERIA G3 1TB｝PCIe 5.0 讀10000/寫8900/QLC【五年保】
11900	40		鎧俠｛KIOXIA EXCERIA G3 2TB｝PCIe 5.0 讀10000/寫9600/QLC【五年保】
10300	41		鎧俠｛KIOXIA EXCERIA PLUS G4 2TB｝GEN5 PCIe 5.0 讀10000/寫8200/TLC【五年保】
7299	42	熱賣	威剛｛XPG MARS 980Blade 1TB｝/Gen5/讀14000/寫10000/SM2508台積電6nm製程-五年
12999	43	熱賣	威剛｛XPG MARS 980Blade 2TB｝/Gen5/讀14000/寫13000/SM2508台積電6nm製程-五年
23999	44		威剛｛XPG MARS 980Blade 4TB｝/Gen5/讀14000/寫13000/SM2508台積電6nm製程-五年
5999	45		｛Biwin 佰維 X570 1TB｝/Gen5/讀14000M/寫7300M/TLC 單面設計 【五年保】
11399	46	熱賣	｛Biwin 佰維 X570 2TB｝/Gen5/讀14500M/寫10000M/TLC 單面設計 【五年保】
