# 08 2.5/3.5 傳統內接硬碟HDD  (報價日期 2026/9/20 16:20)
# price	id	flags	name

## 3.5吋 SATA3 傳統碟
5490	2		Toshiba 2TB (128M/5400轉/3年保)｛DT02ABA200｝裝機版
4990	3	限搭機	Toshiba 2TB (128M/5400轉/3年保)｛DT02ABA200｝裝機版【限搭機】
6790	4		Toshiba 4TB【P300系列】(128M/5400轉/3年保)｛HDWD240UZSVA｝
8890	5	限搭機	Toshiba 4TB【X300系列】(512M/7200轉/3年保)｛HDWR740UZSVA｝【限搭機】
10990	6	限搭機	Toshiba 6TB【X300系列】(512M/7200轉/3年保)｛HDWR760UZSVA｝【限搭機】
4990	7	限搭機	Seagate 2TB【新梭魚】(256M/7200轉/3年保)｛ST2000DM008｝【限搭機】
6250	8	限搭機	Seagate 4TB【新梭魚】(256M/5400轉/3年保)｛ST4000DM004｝【限搭機】
10890	9	限搭機	Seagate 8TB【新梭魚】(256M/5400轉/3年保)｛ST8000DM004｝【限搭機】
18890	10	限搭機	Seagate 16TB【新梭魚】(512M/7200轉/2年保)｛ST16000DM001｝【限搭機】
23530	11	限搭機	Seagate 20TB【新梭魚】(512M/7200轉/2年保)｛ST20000DM001｝【限搭機】
27890	12	限搭機	Seagate 24TB【新梭魚】(512M/7200轉/2年保)｛ST24000DM001｝【限搭機】
4890	13	限搭機	WD 1TB【藍標】(64M/5400轉/3年保)｛WD10EARZ｝【限搭機】
5890	14	限搭機	WD 2TB【藍標】(256M/7200轉/3年保)｛WD20EZBX｝【限搭機】
6390	15		WD 3TB【藍標】(128M/5400轉/3年保)｛WD30EZZX｝
6890	16	限搭機	WD 4TB【藍標】(128M/5400轉/3年保)｛WD40EZZX｝【限搭機】
9090	17	限搭機	WD 6TB【藍標】(256M/5400轉/3年保)｛WD60EZAX｝【限搭機】
11890	18	限搭機	WD 8TB【藍標】(256M/5640轉/3年保)｛WD80EAAZ｝【限搭機】
14890	19	限搭機	WD 10TB【藍標】(512M/7200轉/3年保)｛WD100EAGZ｝【限搭機】

## 3.5吋 SATA3 監控碟
5790	21		Toshiba 2TB【S300系列】【監控型】128MB/5400轉/3年保｛HDWT720UZSVA｝
7790	22		Toshiba 4TB【S300系列】【監控型】256MB/5400轉/3年保｛HDWT840UZSVA｝
