# 09 隨身碟｜隨身硬碟｜記憶卡  (報價日期 2026/9/18 14:19)
# price	id	flags	name

## 隨身碟 Type-C
215	3		金士頓 DT 70 64G / Type-C / USB3.2 G1 / 5年保｛DT70/64GB｝
555	4		創見JF790C 64G 推蓋式 / 黑色 / Type-C / USB3.2 G1 / 5年保｛TS64GJF790C｝
695	5		創見JF790C 128G 推蓋式 / 黑色 / Type-C / USB3.2 G1 / 5年保｛TS128GJF790C｝
1900	6		創見JF790C 256G 推蓋式 / 黑色 / Type-C / USB3.2 G1 / 5年保｛TS256GJF790C｝

## 隨身碟 Type-C+A 雙介面
318	8	熱賣	GIGASTONE｛UAC-4400GY 64G｝Type-C+A 雙介面隨身碟 / USB3.2 G1 / 5年保
628	9	熱賣	GIGASTONE｛UAC-4400GY 128G｝Type-C+A 雙介面隨身碟 / USB3.2 G1 / 5年保
998	10	熱賣	GIGASTONE｛UAC-4400GY 256G｝Type-C+A 雙介面隨身碟 / USB3.2 G1 / 5年保
449	11		｛Lexar D400 64G｝Type-C+A 雙介面隨身碟 / USB3.1 G1 / 5年保
749	12		｛Lexar D400 128G｝Type-C+A 雙介面隨身碟 / USB3.1 G1 / 5年保
1499	13		｛Lexar D400 256G｝Type-C+A 雙介面隨身碟 / USB3.1 G1 / 5年保

## 隨身碟 Type-A
350	15		金士頓 DT Exodia 128G / Type-A / USB3.2 G1 / 5年保｛DTX/128GB｝
785	16		金士頓 DT Exodia 256G / Type-A / USB3.2 G1 / 5年保｛DTX/256GB｝
225	17		金士頓 DT Exodia M 64G 推蓋式 / Type-A / USB3.2 G1 / 5年保｛DTXM/64GB｝
350	18		金士頓 DT Exodia M 128G 推蓋式 / Type-A / USB3.2 G1 / 5年保｛DTXM/128GB｝
785	19		金士頓 DT Exodia M 256G 推蓋式 / Type-A / USB3.2 G1 / 5年保｛DTXM/256GB｝
225	20		金士頓 DT Exodia S 64G 旋轉帽蓋 / Type-A / USB3.2 G1 / 5年保｛DTXS/64GB｝
350	21		金士頓 DT Exodia S 128G 旋轉帽蓋 / Type-A / USB3.2 G1 / 5年保｛DTXS/128GB｝
799	22		金士頓 DT Exodia S 256G 旋轉帽蓋 / Type-A / USB3.2 G1 / 5年保｛DTXS/256GB｝
1655	23		金士頓 DT Exodia S 512G 旋轉帽蓋 / Type-A / USB3.2 G1 / 5年保｛DTXS/512GB｝
209	24		威剛｛UV128 32G｝藍 / Type-A / USB3.2 G1 / 5年保
239	25		威剛｛UV128 64G｝藍 / Type-A / USB3.2 G1 / 5年保
379	26		威剛｛UV128 128G｝藍 / Type-A / USB3.2 G1 / 5年保
899	27		威剛｛UV128 256G｝藍 / Type-A / USB3.2 G1 / 5年保
379	28		威剛｛UV320 128G｝白 / Type-A / USB3.2 G1 / 5年保
239	29		威剛｛UC310 64G｝黑 / Type-A / USB3.2 G1 / 5年保
239	30		威剛｛UC310 64G｝白 / Type-A / USB3.2 G1 / 5年保
379	31		威剛｛UC310 128G｝黑 / Type-A / USB3.2 G1 / 5年保
379	32		威剛｛UC310 128G｝白 / Type-A / USB3.2 G1 / 5年保
899	33		威剛｛UC310 256G｝黑 / Type-A / USB3.2 G1 / 5年保
899	34		威剛｛UC310 256G｝白 / Type-A / USB3.2 G1 / 5年保
455	35		創見 JF700 32G 拔蓋式 / 黑色 / Type-A / USB3.2 G1 / 5年保｛TS32GJF700｝
455	36		創見 JF730 32G 拔蓋式 / 白色 / Type-A / USB3.2 G1 / 5年保｛TS32GJF730｝
455	37		創見 JF790K 32G 推蓋式 / 黑色 / Type-A / USB3.2 G1 / 5年保｛TS32GJF790K｝
539	38		創見 JF700 64G 拔蓋式 / 黑色 / Type-A / USB3.2 G1 / 5年保｛TS64GJF700｝
539	39		創見 JF730 64G 拔蓋式 / 白色 / Type-A / USB3.2 G1 / 5年保｛TS64GJF730｝
539	40		創見 JF790K 64G 推蓋式 / 黑色 / Type-A / USB3.2 G1 / 5年保｛TS64GJF790K｝
205	41	熱賣	｛GIGASTONE 64G 格紋碟｝Type-A / USB3.2 G1 / 5年保
338	42	熱賣	｛GIGASTONE 128G 格紋碟｝Type-A / USB3.2 G1 / 5年保
768	43	熱賣	｛GIGASTONE 256G 格紋碟｝Type-A / USB3.2 G1 / 5年保

## 高速隨身碟
1999	45	熱賣	威剛｛UE800 256G｝Type-C / USB3.2 G2 / R:1000 W:950 / 5年保 金屬
2699	46	熱賣	威剛｛UE800 512G｝Type-C / USB3.2 G2 / R:1000 W:1000 / 5年保 金屬

## Micro SD 記憶卡
499	48		金士頓 Canvas Select+ 64G micro SDXC / R:100 / 終保 / 附轉卡｛SDCS3/64GB｝
729	49		金士頓 Canvas Select+ 128G micro SDXC / R:150 / 終保 / 附轉卡｛SDCS3/128GB｝
1440	50		金士頓 Canvas Select+ 256G micro SDXC / R:150 / 終保 / 附轉卡｛SDCS3/256GB｝
2780	51		金士頓 Canvas Select+ 512G micro SDXC / R:150 / 終保 / 附轉卡｛SDCS3/512GB｝
1250	52		金士頓 Canvas Go 128G micro SDXC / R:200 / 終保 / 附轉卡｛SDCG4/128GB｝
2449	53		金士頓 Canvas Go 256G micro SDXC / R:200 W:160 / 終保 / 附轉卡｛SDCG4/256GB｝
299	54		｛威剛 Premier 32G micro SDHC｝R:100 / 終保 / 附轉卡
389	55		｛威剛 Premier 64G micro SDXC｝R:100 / 終保 / 附轉卡
589	56		｛威剛 Premier 128G micro SDXC｝R:100 / 終保 / 附轉卡
1088	57		｛威剛 Premier 256G micro SDXC｝R:100 / 終保 / 附轉卡
699	59		｛威剛 High Endurance 64G micro SDXC｝R:100 / 高耐用 / 3年保 / 附轉卡
1349	60		｛威剛 High Endurance 128G micro SDXC｝R:100 / 高耐用 / 3年保 / 附轉卡
1949	61		｛威剛 High Endurance 256G micro SDXC｝R:100 / 高耐用 / 3年保 / 附轉卡
3350	62		｛威剛 High Endurance 512G micro SDXC｝R:100 / 高耐用 / 3年保 / 附轉卡
599	63		創見 300S 32G micro SDHC / R:100 / 5年保 / 附轉卡｛TS32GUSD300S-A｝
680	64		創見 300S 64G micro SDXC / R:100 / 5年保 / 附轉卡｛TS64GUSD300S-A｝
489	65		｛Lexar 633x 64G｝High-Performance micro SDXC / R:100 / 10年保 / 附轉卡
899	66		｛Lexar 633x 128G｝High-Performance micro SDXC / R:100 /支援4K影片 / 10年保 / 附轉卡
1579	67		｛Lexar 633x 256G｝High-Performance micro SDXC / R:100 /支援4K影片 / 10年保 / 附轉卡
799	68		｛Lexar Professional Silver Plus microSDXC 64G｝R:205 W:100 / 終保 / 附轉卡
1349	69		｛Lexar Professional Silver Plus microSDXC 128G｝R:205 W:150 / 終保 / 附轉卡
258	71		｛GIGASTONE Gaming Plus 32G｝micro SDHC / R:90 W:20 / 5年保 / 附轉卡
358	72		｛GIGASTONE Gaming Plus 64G｝micro SDXC / R:95 W:35 / 5年保 / 附轉卡
578	73	熱賣	｛GIGASTONE Gaming Plus 128G｝micro SDXC / R:100 W:50 / 5年保 / 附轉卡
1058	74		｛GIGASTONE Gaming Plus 256G｝micro SDXC / R:100 W:60 / 5年保 / 附轉卡
2288	75		｛GIGASTONE Gaming Plus 512G｝micro SDXC / R:100 W:60 / 5年保 / 附轉卡
4988	76	熱賣	｛GIGASTONE Gaming Plus 1TB｝micro SDXC / R:150 W:120 / 5年保 / 附轉卡
498	78	熱賣	｛GIGASTONE Data Recovery 64G｝micro SDXC / R:95 W:35 / 5年保 / 附轉卡
898	79	熱賣	｛GIGASTONE Data Recovery 128G｝micro SDXC / R:100 W:50 / 5年保 / 附轉卡
1638	80	熱賣	｛GIGASTONE Data Recovery 256G｝micro SDXC / R:100 W:60 / 5年保 / 附轉卡
3088	81	熱賣	｛GIGASTONE Data Recovery 512G｝micro SDXC / R:100 W:60 / 5年保 / 附轉卡
5788	82	熱賣	｛GIGASTONE Data Recovery 1TB｝micro SDXC / R:160 W:140 / 5年保 / 附轉卡

## MicroSDXC Express 記憶卡(Switch 2專用)
3550	84	熱賣	｛Lexar PLAY PRO Express 512G｝超高速記憶卡 / R:900 W:600 / 終保
7299	85	熱賣	｛Lexar PLAY PRO Express 1TB｝超高速記憶卡 / R:900 W:600 / 終保

## SD 記憶卡
399	88		｛威剛 32G SDHC｝U1 C10 V10 / R:100 / 終保
499	89		｛威剛 64G SDXC｝U1 C10 V10 / R:100 / 終保
1399	90		｛Lexar Professional Silver Plus SDXC 128G｝R:205 W:150 / 終保
789	91		創見 300S 32G SDHC / R:100 / 5年保｛TS32GSDC300S｝
850	92		創見 300S 64G SDXC / R:100 / 5年保｛TS64GSDC300S｝
2040	93		金士頓 Canvas Go 256G SDXC / R:200 W:160 / 終保｛SDG4/256GB｝

## CFexpress記憶卡
9999	95		｛GIGASTONE 512G CFexpress Type B｝R:1800 W:1600 / 5年保【客訂】
22999	96		｛GIGASTONE 1TB CFexpress Type B｝R:1800 W:1600 / 5年保【客訂】

## 威剛 隨身SSD碟 Type-C介面
2690	98	熱賣	｛威剛 SC750 SSD碟 500G｝灰/讀取1050MB/s/Type-C接頭隨插即用/支援iPhone15~加送32G隨身碟
4800	99	熱賣	｛威剛 SC750 SSD碟 1TB｝灰/讀取1050MB/s/Type-C接頭隨插即用/支援iPhone15~加送32G隨身碟
9200	100	熱賣	｛威剛 SC750 SSD碟 2TB｝灰/讀取1050MB/s/Type-C接頭隨插即用/支援iPhone15~加送32G隨身碟
