# 10 散熱器｜散熱墊｜散熱膏  (報價日期 2026/9/20 16:20)
# price	id	flags	name

## M.2 SSD散熱片
199	2		｛利民 M.2 2280 TYPE A B｝SSD 固態硬碟散熱片/鋁合金/單雙面皆適用
400	3		｛利民 M.2 2280 PRO｝SSD 固態硬碟散熱片/鋁合金+8 mm純銅導管/單雙面皆適用
550	4		｛利民 HR-09 2280｝SSD 固態硬碟散熱器/6 mm熱導管/電鍍鰭片/單雙面皆適用
690	5		｛利民 HR-10 2280 PRO｝SSD 固態硬碟散熱器/4導管/3CM PWM扇/單雙面適用/一年
890	6		｛利民 HR-10 2280 PRO DIGITAL 黑｝SSD散熱器/4導管/溫度,傳輸監控/3cm風扇/一年
890	7		｛利民 HR-10 2280 PRO DIGITAL 白｝SSD散熱器/4導管/溫度,傳輸監控/3cm風扇/一年
199	8		｛喬思伯 M.2-6 紅｝固態硬碟散熱器/2280/鋁合金/單雙面皆適用
249	9		｛喬思伯 M201 黑｝固態硬碟散熱器/2280/格柵式鋁合金散熱片/單雙面皆適用
249	10		｛喬思伯 M201 銀｝固態硬碟散熱器/2280/格柵式鋁合金散熱片/單雙面皆適用
249	11		｛喬思伯 M202 黑｝固態硬碟散熱器/2280/巧克力造型全鋁散熱塊/單雙面皆適用
249	12		｛喬思伯 M202 灰｝固態硬碟散熱器/2280/巧克力造型全鋁散熱塊/單雙面皆適用

## ID-COOLING 散熱器【2年保固】
790	15		｛ID-COOLING IS-40X 散熱器｝下吹式/4導管/高4.5/全黑化/TDP:100W【WXZ】
890	16		｛ID-COOLING IS-50X 散熱器｝下吹式/5導管/高5.5/全黑化/TDP:105W【WXZ】
790	17	熱賣	｛ID-COOLING FROZN A410 DK 黑化版｝4導管/雙風扇/高15.2/TDP:230W【WXZ】
790	18		｛ID-COOLING FROZN A410 DW 白化版｝4導管/雙風扇/高15.2/TDP:230W【WXZ】
1090	19	熱賣	｛ID-COOLING FROZN A620 PRO SE｝6導管/雙塔雙扇/高15.7/TDP:260W【WXZ】
1290	20		｛ID-COOLING FROZN A620 PRO SE ARGB 黑｝6導管/雙塔雙扇/高15.7【WXZ】
1290	21		｛ID-COOLING FROZN A620 PRO SE ARGB 白｝6導管/雙塔雙扇/高15.7【WXZ】
1290	22		｛ID-COOLING FROZN A610 ARGB 黑｝6導管/高15.5/全黑化/偏移不干涉【WXZ】
1290	23		｛ID-COOLING FROZN A610 ARGB 白｝6導管/高15.5/白化版/偏移不干涉【WXZ】

## 利民 Thermalright(索摩樂) 散熱器
950	26		｛利民 AXP90-X47 下吹式｝4導管(6mm)/高4.7cm/AGHP 逆重力導管【WXZ】
1050	27		｛利民 AXP90-X47 白化版 下吹式｝4導管(6mm)/高4.7cm/AGHP 逆重力導管【WXZ】
