# 11 封閉式｜開放式水冷  (報價日期 2026/9/18 14:19)
# price	id	flags	name

## 特價 or 活動專區
7990	2	熱賣	｛TRYX STAGE 360 ARGB 黑 水冷｝4.0吋雙螢幕/Asetek泵浦/6年【WXZ】
7990	4	熱賣	｛TRYX STAGE 360 ARGB 白 水冷｝4.0吋雙螢幕/Asetek泵浦/6年【WXZ】

## 華碩 ASUS【0800到府 6年保固換新】保固內非人損漏液賠償！保固內非人損換新。
1990	8		｛華碩 ASUS LC 240 ARGB 水冷｝格柵式導光條/可更換銘牌/厚:5.2cm/5年【XZ】
2390	9		｛華碩 ASUS LC 360 ARGB 水冷｝格柵式導光條/可更換銘牌/厚:5.2cm/5年【XZ】
3890	10		｛華碩 Prime LC II 360 ARGB LCD(黑)水冷｝3.95吋液晶/一體式風扇/厚:5.2cm/6年【XZ】
3990	11		｛華碩 Prime LC II 360 ARGB LCD(白)水冷｝3.95吋液晶/一體式風扇/厚:5.2cm/6年【XZ】
3590	12		｛華碩 MAX GAMING LC 360 ARGB LCD(黑) 水冷｝2.4吋液晶/厚:5.6cm/6年【XZ】
3690	13		｛華碩 MAX GAMING LC 360 ARGB LCD(白) 水冷｝2.4吋液晶/厚:5.6cm/6年【XZ】
2990	14		｛華碩 TUF GAMING LC III 240 ARGB 白｝一體式風扇/厚:5.36cm/6年【WXZ】
3790	15		｛華碩 TUF GAMING LC III 360 ARGB 黑｝一體式風扇/厚:5.36cm/6年【WXZ】
3990	16		｛華碩 TUF GAMING LC III 360 ARGB 白｝一體式風扇/厚:5.36cm/6年【WXZ】
4690	17		｛華碩 TUF GAMING LC III 360 ARGB LCD 黑｝2.8吋液晶/一體扇/厚:5.36/6年【WXZ】
4890	18		｛華碩 TUF GAMING LC III 360 ARGB LCD 白｝2.8吋液晶/一體扇/厚:5.36/6年【WXZ】
4790	19		｛華碩 ROG STRIX LC III 360 飛龍三代(無光風扇)｝Asetek7th v2/可轉冷頭/6年【WXZ】
4990	20		｛華碩 ROG STRIX LC III 360 ARGB 飛龍三代｝Asetek7th v2/可旋轉冷頭/6年【WXZ】
4990	21		｛華碩 ROG STRIX LC III 360 ARGB 白龍三代｝Asetek7th v2/可旋轉冷頭/6年【WXZ】
5490	22		｛華碩 ROG STRIX LC III 360 ARGB LCD 白龍｝2.1吋液晶/Asetek7th v2/6年【WXZ】
6690	23		｛華碩 ROG STRIX LC IV 360 ARGB LCD 飛龍｝5.08吋液晶/Q-Connector模組/6年【XZ】
6890	24		｛華碩 ROG STRIX LC IV 360 ARGB LCD 白龍｝5.08吋液晶/Q-Connector模組/6年【XZ】
6690	25		｛華碩 ROG STRIX SLC IV 360 ARGB LCD 飛龍｝5.08吋液晶/Q-Connector模組/6年【XZ】
6890	27		｛華碩 ROG STRIX SLC IV 360 ARGB LCD 白龍｝5.08吋液晶/Q-Connector模組/6年【XZ】
12690	29		｛華碩 ROG RYUO IV 360 ARGB(黑) 龍王四代｝6.67吋曲面(螢幕2年保)/6年【XZ】
15990	30	熱賣	華碩 ROG RYUO IV 360 ARGB(黑) 龍王+華碩 ROG STRIX 1000W(黑) 白金(Equalizer)
12990	31		｛華碩 ROG RYUO IV 360 ARGB(白) 龍王四代｝6.67吋曲面(螢幕2年保)/6年【XZ】
15990	32	熱賣	華碩 ROG RYUO IV 360 ARGB(白) 龍王+華碩 ROG STRIX 1000W(白) 白金(Equalizer)
12690	33		｛華碩 ROG RYUO IV SLC 360 ARGB(黑) 龍王四代｝6.67吋曲面(螢幕2年保)/6年【XZ】
12990	35		｛華碩 ROG RYUO IV SLC 360 ARGB(白) 龍王四代｝6.67吋曲面(螢幕2年保)/6年【XZ】
