# 12 顯示卡VGA  (報價日期 2026/9/20 16:20)
# price	id	flags	name

## NVIDIA / AMD 顯示卡周邊配件
1290	2		｛華碩 ROG Herculx 黑 顯示卡支撐架｝氣泡水平儀/ARGB燈效/2年(機殼需配置電源倉)
1390	3		｛華碩 ROG Herculx 白 顯示卡支撐架｝氣泡水平儀/ARGB燈效/2年(機殼需配置電源倉)
490	4		｛酷碼 VGA Holder 顯卡用支架｝千斤頂顯卡支撐架/(0005-KUH00)
790	5		｛酷碼 ARGB 強化玻璃 顯卡支撐架｝(MCA-U000R-GSBTG-00)
1390	6		｛酷碼 ATLAS ARGB 顯卡支撐架｝無限鏡面強化玻璃/鋁製支架
790	7		｛微星 MPG ARGB 顯卡支撐架 黑｝磁吸式底座/90度可旋轉設計
790	8		｛微星 MPG ARGB 顯卡支撐架 白｝磁吸式底座/90度可旋轉設計

## INTEL Arc Pro B70 專業級顯示卡
51290	10		｛華擎 ARC PRO B70 Creator 32G｝2540MHz/27cm/鼓風扇/註冊五年保

## NVIDIA GeForce 210
1590	12		｛微星 N210-MD1G/D3｝589MHz/1G DDR3/風扇版/14.5cm/三年保

## NVIDIA GT710
2590	14	熱賣	｛華碩 GT710-SL-2GD5-BRK-EVO｝954MHz/2G DDR5/17cm/註冊四年保/保固最優
2490	15		｛技嘉 N710D3-2GL｝954MHz/2G DDR3/14.4cm/三年保
2590	16		｛微星 GT710 2GD3H LP｝954MHz/2G DDR3/靜音版/14.6cm/三年保
2290	18		｛ZOTAC GT710-2GD3-L｝954MHz/2G DDR3/靜音版/14.6cm/註四年/三介面 *尾盤
2490	19		｛ZOTAC GT710-2GD3｝954MHz/2G DDR3/單風扇/15.7cm/註四年/三介面
1988	20		｛INNO3D GT710 2GB DDR3｝954MHz/靜音版/14cm/三年保固

## NVIDIA GT730
3090	22	熱賣	｛華碩 GT730-SL-2GD5-BRK｝902MHz/2G DDR5/16.5cm/靜音版/註四年
3490	23		｛華碩 GT730-4H-SL-2GD5｝927MHz/2G DDR5/14.8cm/靜音版/註四年/4輸出 HDMI
2990	24	任搭折90	｛微星 N730-2GD3V3｝700MHz/2G DDR3 128Bit/14.5cm/三年保/雪精靈系列
2990	25	任搭折90	｛微星 N730K-2GD3/OCV5｝1006MHz/2G DDR3/15cm/三年保/*尾盤
2990	26	任搭折90	｛ZOTAC GT730 2GB Zone Edition｝902MHz/2G DDR3/15cm/無風扇/註四年/三介面
2688	27		｛INNO3D GT730 2GB SDDR3 LP｝902MHz/靜音版/14cm/三年保
2988	28		｛INNO3D GT730 4GB SDDR3 LP｝902MHz/單風扇/15cm/三年保

## NVIDIA GT1030
3590	31	熱賣	｛華碩 GT1030-SL-2G-BRK｝1468MHz/GDDR5/17cm/註四年
3490	32	任搭折90	｛技嘉 GT1030 Low Profile D4 2G｝1417MHz/GDDR4/15cm/單風扇
3590	33	任搭折90	｛微星 GT1030 2GD4 LP OC｝1430MHz/DDR4/15cm/三年保
3590	34	任搭折90	｛微星 GT1030 AERO ITX 2GD4 OCV1｝1430MHz/DDR4/15cm/三年保/類比輸出
3490	36	任搭折90	｛ZOTAC GT1030 2GB GDDR5 HDMI/DVI Low Profile｝(P10300A-10L)
3490	37	任搭折90	｛ZOTAC GT1030 2GB GDDR5 HDMI/VGA Low Profile｝P10300E-10L) 類比輸出
2988	38		｛INNO3D GT1030 2G｝1468MHz/GDDR5/17cm/三年保

## NVIDIA RTX3050-6GB
9990	40		｛華碩 DUAL-RTX3050-O6G｝1537MHz/20cm/雙風扇/註四年
9990	41	熱賣 任搭折90	｛技嘉 RTX3050 WINDFORCE OC V2 6G｝1477MHz/18cm/雙風扇/註四年
9990	42	任搭折90	｛微星 RTX3050 VENTUS 2X E 6G OC｝1492MHz/19cm/雙風扇/註四年
