# 14 CASE 機殼(+電源)  (報價日期 2026/9/19 15:41)
# price	id	flags	name

## 特價 or 活動專區
3590	2		Montech HS01 PRO(黑) 玻璃透側/ATX+Montech PureFlow 360 ARGB(黑)水冷 現省$1190！
3590	3		Montech HS01 PRO(白) 玻璃透側/ATX+Montech PureFlow 360 ARGB(白)水冷 現省$1190！
1990	4		｛darkFlash DY460 白｝顯卡長40/CPU高18.5/三面全景玻璃/支援背插/ATX 原價$2990！
1590	5		｛COUGAR Airface Pure Pro 黑｝顯卡長32/CPU高17.5/玻璃透側/ATX 原價$1890！
1690	6		｛COUGAR Airface Pure Pro 白｝顯卡長32/CPU高17.5/玻璃透側/ATX 原價$1990！
2390	7		｛曜越 View 290 TG ARGB 黑｝顯卡長45/U高18/全景曲面玻璃/支援背插/ATX 原價$2690！
2390	8		｛曜越 View 290 TG ARGB 白｝顯卡長45/U高18/全景曲面玻璃/支援背插/ATX 原價$2690！
1390	9	酷幣100	｛Mavoly Strawberry M16 黑｝顯卡長20/U高7/內附400W電源(1年)【僅支援6孔M-ATX】
1490	10	酷幣100	｛Mavoly Strawberry M16W 白｝顯卡20/U高7/內附400W電源(1年)【僅支援6孔M-ATX】

## 工業機架式 / NAS 機殼
3500	12		｛銀欣 RM23-502｝2U工業機殼/CPU高6.5/ATX(不含滑軌)/支援ATX標準電供【客訂】
5290	13		｛銀欣 RM31-MINI｝3U工業機殼/顯卡長36/CPU高11/ATX/CEB(不含滑軌)/SFX電供【客訂】
6590	14		｛銀欣 RM31｝3U工業機殼/CPU高11/ATX/EEB(不含滑軌)/支援360水冷/SFX電供【客訂】
3690	15		｛銀欣 RM4A｝4U工業機殼/U高13.7(14.8)/ATX/EEB(不含滑軌)/支援360水冷/ATX電供
4890	16		｛銀欣 RM400｝4U工業機殼/CPU高13/ATX/CEB(不含滑軌)/支援ATX標準電供
5500	17		｛銀欣 RM41-506｝4U工業機殼/顯卡長27.8/CPU高13(14.8)/支援5.25*6/ATX(不含滑軌)
7150	18		｛銀欣 RM44｝4U工業機殼/CPU高13.7(14.8)/EEB(不含滑軌)/直立橫躺兩用【客訂】
7500	19		｛銀欣 RM42-502｝4U工業機殼/CPU高13(14.8)/EEB(不含滑軌)/直立橫躺兩用【客訂】
10390	20		｛銀欣 RM51｝5U工業機殼/CPU高19.2(18.1)/EEB(不含滑軌)/直立橫躺兩用【客訂】
11990	21		｛銀欣 RM52 ｝5U工業機殼/CPU高19.2(18.1)/EEB(不含滑軌)/直立橫躺兩用【客訂】
5990	22		｛銀欣 CS382｝顯卡長36.9/U高16.8/8*硬碟熱插拔(2.5/3.5吋)/帶鎖門板/M-ATX【客訂】
9290	23		｛銀欣 CS383｝顯卡長34/U高15.8(18.6)/8*硬碟熱插拔(2.5/3.5吋)/帶鎖門板/EEB【客訂】
3200	24		｛樹昌 TI-U202S｝2U工業機殼/CPU高5.5/ATX(不含滑軌)/支援ATX電供(限深14cm)
3000	25		｛樹昌 TI-U402S｝4U工業機殼/顯卡長33/CPU高13/E-ATX(不含滑軌)/支援ATX標準電供
2100	26		｛樹昌 TI-U403S｝4U工業機殼/CPU高12/ATX(不含滑軌)/支援ATX標準電供
3990	27		｛喬思伯 N3｝顯卡長25/CPU高13/3.5*8 硬碟位/NAS推薦/上下分艙/ITX【SFX】
2990	28		｛喬思伯 N4 黑｝顯卡長23(Low Profile)/U高7/硬碟位3.5*6+2.5*2/NAS推薦/M-ATX【SFX】
2990	29		｛喬思伯 N4 白｝顯卡長23(Low Profile)/U高7/硬碟位3.5*6+2.5*2/NAS推薦/M-ATX【SFX】
5990	30		｛喬思伯 N5｝顯卡長35/CPU高16/3.5*12 硬碟位/NAS推薦/上下分艙/E-ATX
3990	31		｛喬思伯 N6 黑｝顯卡長(27.5~32)/CPU高6.5/3.5*9 硬碟位/NAS推薦/上下分艙/M-ATX

## SFX 機殼專區
4700	33		｛聯力 A4-H2O 黑｝PCIe 5.0/顯卡長32.2/CPU高5.5/鋁合金/ITX【SFX】
4700	34		｛聯力 A4-H2O 銀｝PCIe 5.0/顯卡長32.2/CPU高5.5/鋁合金/ITX【SFX】
1990	35		｛酷碼 MasterBox NR200 白｝顯卡長33/CPU高15.5(7.6)/ITX【SFX】
3490	36		｛酷碼 MasterBox NR200P V3 黑｝顯卡長36.1/U高7/網孔側板/PCIe5.0延長線/ITX【SFX】
990	37		｛全漢 CST351｝顯卡長33.6/CPU高13.8/底部ARGB氣氛燈/前置Type-C/ITX【SFX】
3490	38	熱賣	全漢 CST351 顯卡長33.6/CPU高13.8/ITX + 全漢 金鋼彈 650W/金牌(SFX) 現省$790！
2040	39		｛銀欣 ML09 黑｝顯卡長17.5(LP)/CPU高3.7(7)/ITX(ML09B)【SFX】【客訂】
1990	40		｛銀欣 LD03｝顯卡長30.9(2 slots)/CPU高19/垂直風道/玻璃透側/ITX【SFX】原價$4490
1400	41		｛銀欣 SG05-LITE 黑｝顯卡長22.8/CPU高8/ITX(SG05BB-LITE)【SFX】
4890	42		｛Fractal Design Ridge 黑｝顯卡長33.5(32.5)/厚8.2(5.7)/高13.7(12.5)/CPU高7/ITX【SFX】
4890	43		｛Fractal Design Ridge 白｝顯卡長33.5(32.5)/厚8.2(5.7)/高13.7(12.5)/CPU高7/ITX【SFX】
6790	44		｛Fractal Design Terra 黑｝顯卡32.2(厚4.3-7.2)/U高7.7(4.8)/鋁機身/胡桃木面板/ITX【SFX】
6790	45		｛Fractal Design Terra 銀｝顯卡32.2(厚4.3-7.2)/U高7.7(4.8)/鋁機身/胡桃木面板/ITX【SFX】
6790	46		｛Fractal Design Terra 綠｝顯卡32.2(厚4.3-7.2)/U高7.7(4.8)/鋁機身/胡桃木面板/ITX【SFX】
5990	47		｛Fractal Design Mood 灰｝顯卡長32.5(厚5.6)/CPU高11.4/透氣織布柱狀設計/ITX【SFX】
5990	48		｛Fractal Design Mood 黑｝顯卡長32.5(厚5.6)/CPU高11.4/透氣織布柱狀設計/ITX【SFX】
7900	49		｛Fractal Design Era 2 銀色｝顯卡長32.6/厚4.8(6.3)/高13.7/CPU高5.5(7)/ITX【SFX】
7900	50		｛Fractal Design Era 2 深灰｝顯卡長32.6/厚4.8(6.3)/高13.7/CPU高5.5(7)/ITX【SFX】
7900	51		｛Fractal Design Era 2 午夜藍｝顯卡長32.6/厚4.8(6.3)/高13.7/CPU高5.5(7)/ITX【SFX】
3690	52		｛喬思伯 TK-0 黑｝顯卡長23/CPU高13.7/雙折彎環形玻璃/胡桃木面板/ITX【SFX】
3690	53		｛喬思伯 TK-0 白｝顯卡長23/CPU高13.7/雙折彎環形玻璃/胡桃木面板/ITX【SFX】
5490	54		｛喬思伯 T9 黑｝顯卡長31/CPU高(5.8~7.8)/PCIe5.0線/實木底座/鋁合金外殼/ITX【SFX】
5490	55		｛喬思伯 T9 銀｝顯卡長31/CPU高(5.8~7.8)/PCIe5.0線/實木底座/鋁合金外殼/ITX【SFX】

## 華碩 ASUS 機殼
1490	57		｛華碩 A21 黑｝顯卡長38/U高16.5/玻璃透側/支援背插/M-ATX 送振華12cm冰渦輪風扇*1
2090	58		｛華碩 A21 PLUS 黑｝顯卡長38/CPU高16.5/玻璃透側/ARGB風扇*4/支援背插/M-ATX
2190	59		｛華碩 A21 PLUS 白｝顯卡長38/CPU高16.5/玻璃透側/ARGB風扇*4/支援背插/M-ATX
2390	60		｛華碩 A31 PLUS 黑｝顯卡長38/CPU高16.5/全景玻璃/支援背插/傾斜基座/ATX
3990	61	熱賣	華碩 A31 PLUS 黑 /全景玻璃/支援背插/ATX+華碩 TUF GAMING 750W EVO 銅牌/全模
2490	62		｛華碩 A31 PLUS 白｝顯卡長38/CPU高16.5/全景玻璃/支援背插/傾斜基座/ATX
4090	63		華碩 A31 PLUS 白 /全景玻璃/支援背插/ATX+華碩 TUF GAMING 750W EVO 銅牌/全模
2590	64		｛華碩 A32 PLUS 黑｝顯卡長42/CPU高16.5/全景玻璃透側/分艙設計/ATX
2690	65		｛華碩 A32 PLUS 白｝顯卡長42/CPU高16.5/全景玻璃透側/分艙設計/ATX
1890	66		｛華碩 Prime AP201 黑｝顯卡長33.8/CPU高17/方形進氣孔/前置Type-C/M-ATX
3290	67	熱賣	華碩 Prime AP201 黑 /方形進氣孔/M-ATX+華碩 TUF GAMING 650W EVO 銅牌/全模組
1990	68		｛華碩 Prime AP201 白｝顯卡長33.8/CPU高17/方形進氣孔/前置Type-C/M-ATX
3390	69	熱賣	華碩 Prime AP201 白 /方形進氣孔/M-ATX+華碩 TUF GAMING 650W EVO 銅牌/全模組
1790	70		｛華碩 Prime AP201 TG 白｝顯卡長33.8/CPU高17/玻璃透側/前置Type-C/M-ATX
2690	71		｛華碩 Prime AP202 ARGB 黑｝顯卡長42/U高17.5/懸浮式進氣+燈條/全景曲面玻璃/M-ATX
4290	72	熱賣	華碩 Prime AP202 ARGB 黑/曲面玻璃/M-ATX+華碩 TUF GAMING 750W EVO 銅牌/全模
2790	73		｛華碩 Prime AP202 ARGB 白｝顯卡長42/U高17.5/懸浮式進氣+燈條/全景曲面玻璃/M-ATX
4390	74	熱賣	華碩 Prime AP202 ARGB 白/曲面玻璃/M-ATX+華碩 TUF GAMING 750W EVO 銅牌/全模
2290	75		｛華碩 Prime AP303 Mesh 黑｝顯卡長36/CPU高16.5/方形進氣孔/ATX
2390	76		｛華碩 Prime AP303 Mesh 白｝顯卡長36/CPU高16.5/方形進氣孔/ATX
3790	77		｛華碩 Prime AP304 ARGB 黑｝顯卡長42/U高17.5/懸浮式進氣+燈條/全景曲面玻璃/ATX
3890	78		｛華碩 Prime AP304 ARGB 白｝顯卡長42/U高17.5/懸浮式進氣+燈條/全景曲面玻璃/ATX
3490	79		｛華碩 TUF Gaming GT302 ARGB 黑｝顯卡長40.7/U高16.5/玻璃透側/支援背插/E-ATX
8180	80	熱賣	華碩 TUF Gaming GT302 ARGB 黑/E-ATX+TUF GAMING LC III 360 ARGB LCD(黑)水冷
3690	82		｛華碩 TUF Gaming GT302 ARGB 白｝顯卡長40.7/U高16.5/玻璃透側/支援背插/E-ATX
8580	83	熱賣	華碩 TUF Gaming GT302 ARGB 白/E-ATX+TUF GAMING LC III 360 ARGB LCD(白)水冷
4690	85		｛華碩 TUF Gaming GT502 Horizon｝無界版 卡長40/U高16.3/分艙設計/全景玻璃透側/ATX
5689	86	熱賣	華碩 TUF Gaming GT502 Horizon/ATX+Prime MR120 ARGB(黑)反向扇(三入)+正向(單顆)
4890	88		｛華碩 TUF Gaming GT502 Horizon 白色版｝卡長40/U高16.3/分艙設計/全景玻璃透側/ATX
5989	89	熱賣	華碩 TUF Gaming GT502 Horizon(白色)+Prime MR120 ARGB(白)反向扇(三入)+正向(單顆)
2990	91	下殺	｛華碩 ProArt PA401 Wood 黑色 透側版｝卡31.5/U16/玻璃透側/ATX 送 ESD-A1A(黑)外接盒▼下殺到 9/30 20:00
2890	92	下殺	｛華碩 ProArt PA401 Wood 黑色 網狀版｝卡31.5/U16/網孔側板/ATX 送 ESD-A1A(黑)外接盒▼下殺到 9/30 20:00
3290	93	下殺	｛華碩 ProArt PA401 Wood 燕麥色 透側版｝卡31.5/U16/玻璃透側/ATX 送 ESD-A1A(灰)外接盒▼下殺到 9/30 20:00
3290	94	下殺	｛華碩 ProArt PA401 Wood 燕麥色 網狀版｝卡31.5/U16/網孔側板/ATX 送 ESD-A1A(灰)外接盒▼下殺到 9/30 20:00
6490	95		｛華碩 ProArt PA602｝顯卡長44/CPU高18.5/玻璃透側/紅外線灰塵偵測/E-ATX
7890	96		｛華碩 ProArt PA602 胡桃木-現代黑｝顯卡長44/CPU高18.5/玻璃透側/灰塵偵測/E-ATX
8290	97		｛華碩 ProArt PA602 胡桃木-復古棕｝顯卡長44/CPU高18.5/玻璃透側/灰塵偵測/E-ATX
9490	98	下殺	｛華碩 ROG Strix Helios II GX601S 黑｝顯卡長45/雙玻璃透側/E-ATX 送 ESD-S1C(黑)外接盒▼下殺到 9/30 20:00
9890	99	下殺	｛華碩 ROG Strix Helios II GX601S 白｝顯卡長45/雙玻璃透側/E-ATX 送 ESD-S1C(白)外接盒▼下殺到 9/30 20:00
13990	100	下殺	｛華碩 ROG Hyperion GR701 創世神 黑｝顯卡長46/玻璃透側/E-ATX 送 ESD-S1C(黑)外接盒▼下殺到 9/30 20:00
14990	101	下殺	｛華碩 ROG Hyperion GR701 創世神 白｝顯卡長46/玻璃透側/E-ATX 送 ESD-S1C(白)外接盒▼下殺到 9/30 20:00
10990	102		｛華碩 ROG Cronox GR801 幻世神｝顯卡長40/U高18/9.2 吋LCD/全景玻璃/背插/E-ATX
14990	103		｛華碩 ROG Cronox ARGB GR801 黑｝顯卡40/U高/LCD+燈效面板+風扇*4/背插/E-ATX
17990	104	熱賣	華碩 ROG Cronox ARGB GR801(黑),加購 Eurux GR120 ARGB(黑)風扇*5個(1正4反)
14990	105		｛華碩 ROG Cronox ARGB GR801 白｝顯卡40/U高/LCD+燈效面板+風扇*4/背插/E-ATX
17990	106	熱賣	華碩 ROG Cronox ARGB GR801(白),加購 Eurux GR120 ARGB(白)風扇*5個(1正4反)
19990	107	熱賣	｛華碩 ROG GR20 EDITION 20｝開放式機殼/卡36.8/鋁合金框架/三放置方式/橫流扇/E-ATX

## 君主 Montech 機殼
2690	109	熱賣	Montech X2 PLUS 黑/玻璃透側/ATX+Montech BETA 2 750W/銅牌/ATX3.1 現省590！
2690	110	熱賣	Montech X2 PLUS 白/玻璃透側/ATX+Montech BETA 2 750W/銅牌/ATX3.1 現省590！
2490	111	熱賣	Montech SKY ONE LITE 白/玻璃透側/ATX+Montech BETA 2 650W/銅牌/ATX3.1 現省690！
2790	112	熱賣	Montech XR 黑 /玻璃透側/ATX + Montech GAMMA 3 650W/金牌/ATX3.1電源 現省690！
1690	113		｛Montech TEN 黑｝顯卡長42.5(41)/CPU高15.6(5.2)/全網孔設計/三種配置模式/M-ATX
1790	114		｛Montech TEN 白｝顯卡長42.5(41)/CPU高15.6(5.2)/全網孔設計/三種配置模式/M-ATX
1090	115		｛Montech X1 黑｝顯卡長30.5/CPU高16.5/網孔面板/玻璃透側/ATX
1390	116		｛Montech X2 PLUS 黑｝顯卡長30.5/CPU高16/網孔面板/玻璃透側/ATX
1390	117		｛Montech X2 PLUS 白｝顯卡長30.5/CPU高16/網孔面板/玻璃透側/ATX
1550	118		｛Montech X5M 黑｝顯卡長40.5/CPU高16.5/玻璃透側/12cm*3前風扇/M-ATX
1550	119		｛Montech X5M 白｝顯卡長40.5/CPU高16.5/玻璃透側/12cm*3前風扇/M-ATX
1590	120		｛Montech X5 黑｝顯卡長41/CPU高16.5/玻璃透側/顯卡支撐架/14cm*3前風扇/E-ATX
1590	121		｛Montech X5 白｝顯卡長41/CPU高16.5/玻璃透側/顯卡支撐架/14cm*3前風扇/E-ATX
1590	122	熱賣	｛Montech XR 黑｝顯卡長42/CPU高17.5/全景玻璃透側/ATX
1690	123		｛Montech XR 白｝顯卡長42/CPU高17.5/全景玻璃透側/ATX
1890	124		｛Montech XR 米白色｝限量版/顯卡長42/CPU高17.5/全景玻璃透側/ATX
1890	125		｛Montech XR 水泥灰｝限量版/顯卡長42/CPU高17.5/全景玻璃透側/ATX
1890	126		｛Montech XR Wood 黑｝顯卡長42/CPU高17.5/玻璃透側/胡桃木混搭面板/ATX
1990	127		｛Montech XR Wood 白｝顯卡長42/CPU高17.5/玻璃透側/胡桃木混搭面板/ATX
1750	128		｛Montech TG3 黑｝顯卡長43/CPU高18/全景玻璃透側/ARGB電源艙/背插/ATX
1890	129		｛Montech TG3 白｝顯卡長43/CPU高18/全景玻璃透側/ARGB電源艙/背插/ATX
1190	130		｛Montech Air 100 LITE 黑｝顯卡長33/CPU高16.1/磁吸面板/玻璃透側/M-ATX
1290	131		｛Montech Air 100 LITE 白｝顯卡長33/CPU高16.1/磁吸面板/玻璃透側/M-ATX
1690	132		｛Montech Air 100 ARGB 黑｝顯卡長33/CPU高16.1/磁吸面板/玻璃透側/M-ATX
1890	133		｛Montech Air 100 ARGB 白｝顯卡長33/CPU高16.1/磁吸面板/玻璃透側/M-ATX
1590	134		｛Montech Air 903 BASE 黑｝顯卡長40/CPU高18/前置Type-C/玻璃透側/E-ATX
1790	135		｛Montech Air 903 BASE 白｝顯卡長40/CPU高18/前置Type-C/玻璃透側/E-ATX
1890	136	熱賣	｛Montech Air 903 MAX 黑｝顯卡長40/CPU高18/快拆網孔面板/玻璃透側/E-ATX
2090	137		｛Montech Air 903 MAX 白｝顯卡長40/CPU高18/快拆網孔面板/玻璃透側/E-ATX
1590	138		｛Montech Air 1000 LITE 白｝顯卡長34/CPU高16.5/玻璃透側/ATX
1690	139		｛Montech Air 1000 Silent｝靜音版 顯卡長34/CPU高16.5/上抽式防塵網/ATX
1990	140		｛Montech Air 1000 PREMIUM 黑｝顯卡長34/U高16.5/玻璃透側/雙面板(玻璃/網孔)/ATX
2190	141		｛Montech Air 1000 PREMIUM 白｝顯卡長34/U高16.5/玻璃透側/雙面板(玻璃/網孔)/ATX
1290	142		｛Montech SKY ONE LITE 黑｝顯卡長35/CPU高17/前置Type-C/玻璃透側/ATX
1490	143		｛Montech SKY ONE LITE 白｝顯卡長35/CPU高17/前置Type-C/玻璃透側/ATX
2090	144		｛Montech SKY TWO 白｝顯卡長40/CPU高16.8/創新風流設計/玻璃透側/ATX
2490	145		｛Montech SKY TWO GX 黑｝顯卡長40/U高16.8/玻璃透側/E-ATX 送AX120(黑) 風扇*1
2690	146	熱賣	｛Montech SKY TWO GX 白｝顯卡長40/U高16.8/玻璃透側/E-ATX 送AX120(白) 風扇*1
2190	148		｛Montech SKY 3 黑｝顯卡長44.5/CPU高18.5/全景玻璃透側/模組化可調底艙/背插/ATX
2389	149	熱賣	Montech SKY 3 黑 /全景玻璃/背插/ATX+MONTECH RX120 PRO(黑)反向扇*2 現省$399
2290	150		｛Montech SKY 3 白｝顯卡長44.5/CPU高18.5/全景玻璃透側/模組化可調底艙/背插/ATX
2489	151	熱賣	Montech SKY 3 白 /全景玻璃/背插/ATX+MONTECH RX120 PRO(白)反向扇*2 現省$399
2790	152		｛Montech KING 15 PRO 黑｝卡43.5/U高18.7/傾斜風扇基座/全景曲面玻璃/背插/M-ATX
2890	153		｛Montech KING 15 PRO 白｝卡43.5/U高18.7/傾斜風扇基座/全景曲面玻璃/背插/M-ATX
2890	154		｛Montech KING 45 PRO 黑｝顯卡長43.5/U高18.7/傾斜風扇基座/全景曲面玻璃/ATX
2990	155		｛Montech KING 45 PRO 白｝顯卡長43.5/U高18.7/傾斜風扇基座/全景曲面玻璃/ATX
2690	156		｛Montech KING 65 PRO 黑｝顯卡長42/CPU高17.5/分艙設計/全景玻璃透側/ATX
2690	157		｛Montech KING 65 PRO 白｝顯卡長42/CPU高17.5/分艙設計/全景玻璃透側/ATX
3990	158		｛Montech KING 95 PRO 黑｝顯卡長42/U高17.5/六風扇/分艙設計/全景玻璃+網孔/ATX
4190	159		｛Montech KING 95 PRO 白｝顯卡長42/U高17.5/六風扇/分艙設計/全景玻璃+網孔/ATX
4590	160		｛Montech KING 95 PRO 紅｝顯卡長42/U高17.5/六風扇/分艙設計/全景玻璃+網孔/ATX
2990	161		｛Montech Heritage PRO 黑｝顯卡長40/CPU高17/玻璃透側/皮革裝飾+提帶/M-ATX
3090	162		｛Montech Heritage PRO 白｝顯卡長40/CPU高17/玻璃透側/皮革裝飾+提帶/M-ATX
2990	163		｛Montech HS01 PRO 黑｝卡40/U高17/可翻轉機身/下沉式風扇/前網+玻璃透側/背插/ATX
3590	164	熱賣	Montech HS01 PRO(黑) 玻璃透側/ATX+Montech PureFlow 360 ARGB(黑)水冷 現省$1190！
2990	165		｛Montech HS01 PRO 白｝卡40/U高17/可翻轉機身/下沉式風扇/前網+玻璃透側/背插/ATX
3590	166	熱賣	Montech HS01 PRO(白) 玻璃透側/ATX+Montech PureFlow 360 ARGB(白)水冷 現省$1190！
3190	167		｛Montech HS02 PRO 黑｝卡42/U高17.5/可翻轉機身/下沉式風扇/全景玻璃透側/背插/ATX
3190	168		｛Montech HS02 PRO 白｝卡42/U高17.5/可翻轉機身/下沉式風扇/全景玻璃透側/背插/ATX

## 視博通 Superchannel 機殼
1190	170		視博通 蒼龍戰士 + 視博通 450W電源(2年) 顯卡長30/CPU高15/ATX
1390	171		視博通 SA801 + 視博通 500W電源(2年) 顯卡長32/CPU高15.5/ATX
890	172		｛視博通 小至尊｝顯卡長33/CPU高14/前置讀卡機/M-ATX
890	173		｛視博通 LEM003M 黑｝顯卡長31.5/CPU高16.5/金屬網孔側板/M-ATX
1090	174		｛視博通 LEX100M 黑｝顯卡長31.5/CPU高16.5/定光RGB扇*5/全景玻璃透側/M-ATX
1090	175		｛視博通 LEX100M 白｝顯卡長31.5/CPU高16.5/定光RGB扇*5/全景玻璃透側/M-ATX
1190	176		｛視博通 LEX200M 黑｝顯卡長34.5/CPU高16.5/全景玻璃透側/M-ATX
1190	177		｛視博通 LEX200M 白｝顯卡長34.5/CPU高16.5/全景玻璃透側/M-ATX
