# 16 機殼風扇｜機殼配件  (報價日期 2026/9/19 15:41)
# price	id	flags	name

## 機殼風扇 超值推薦
790	2	熱賣	｛台達 AK-12B 黑｝12cm 效能扇 /SuperFlo軸承/2500RPM/減震襯墊/PWM/六年保
790	3	熱賣	｛台達 AK-12B-W 白｝12cm 效能扇 /SuperFlo軸承/2500RPM/減震襯墊/PWM/六年保
390	4		｛Acer Predator Frostblade 120｝風扇/HDB軸/1800RPM/ARGB/PWM/一年保
799	5		｛MSI MAG F120 ARGB 黑｝12cm 反葉風扇/三顆裝/液壓軸承/1300RPM/PWM
799	6		｛MSI MAG F120 ARGB 白｝12cm 反葉風扇/三顆裝/液壓軸承/1300RPM/PWM
50	7		｛i-CoolTw 8cm 靜音油封風扇｝(大4Pin) 不挑色
75	8		｛i-CoolTw 12cm 靜音油封風扇｝(大4Pin) 黑色
500	9		｛銀欣 FHS 80X 8cm 工業風扇｝厚:38mm/高風壓風量/雙滾珠軸承/10,000RPM/PWM
550	10		｛銀欣 FHS 120X 12cm 工業風扇｝厚:38mm/高風壓風量/雙滾珠軸承/4000RPM/PWM
590	11		｛銀欣 FHS 140X 14cm 工業風扇｝厚:38mm/高風壓風量/雙滾珠軸承/3400RPM/PWM
249	12		｛BitFenix 火鳥 幽靈 Spectre｝A.RGB(5V) 風扇/12cm/可串接/液態軸承/1200rpm
159	13		｛Apexgaming A-Cool 12cm 定色RGB風扇｝四色雙光圈/雙面減震墊/大4Pin
1190	14		｛Apexgaming A-Cool 無雙 12cm A.RGB｝白色/3風扇+控制器/(3Pin/5V)(AC-120WD)

## 華碩 ASUS 風扇/配件
1590	16		｛華碩 ROG EQUALIZER(黑) 電源線｝750mm/12V-2x6壓紋線/符合PCIe 5.1 標準/三年
1590	17		｛華碩 ROG EQUALIZER(白) 電源線｝750mm/12V-2x6壓紋線/符合PCIe 5.1 標準/三年
1290	18		｛華碩 GT502 Horizon 機殼專用 ARGB(黑) 燈效套件｝磁吸式/二年保
1290	19		｛華碩 GT502 Horizon 機殼專用 ARGB(白) 燈效套件｝磁吸式/二年保
459	20		｛華碩 TUF Gaming ARGB PWM 風扇集線器｝1分6/磁吸式/運作指示燈/雙SATA供電
349	21		｛華碩 Prime MR120 ARGB(黑) 風扇/單顆裝｝厚28mm/雙側發光框架/PWM/二年保
999	22		｛華碩 Prime MR120 ARGB(黑) 風扇/三顆裝｝厚28mm/雙側發光框架/PWM/二年保
379	24		｛華碩 Prime MR120 ARGB(白) 風扇/單顆裝｝厚28mm/雙側發光框架/PWM/二年保
