# 17 鍵盤+鼠｜搖桿｜桌+椅  (報價日期 2026/9/21 14:51)
# price	id	flags	name

## 【周邊活動熱賣專區】
5490	2	熱賣	｛華碩 ROG Falchion Ace HFX ZywOo Edition｝磁軸電競鍵盤/有線/英文/8000Hz
7990	3	熱賣 酷幣300	｛華碩 ROG Falcata｝分離式磁軸電競鍵盤/有線8k/無線8k/藍牙/75%/HFX V2磁軸/
5490	5	熱賣 酷幣300	｛華碩 ROG Falchion Ace HFX｝65% 磁軸鍵盤/有線/8000Hz輪詢率/五層消音結構
7490	6	熱賣 酷幣300	｛華碩 ROG Falchion Ace 75 HE｝磁軸鍵盤(黑)/有線/8000Hz/V2磁軸/霍爾感應器/六層消音結構
8990	8	熱賣	｛亞碩 GM37 標準版 電競椅-網椅+亞碩 GM37-S 標準版 電競椅-網椅(組合優惠)
5490	9	熱賣	｛Cherry Mx8.2 Pro TMR TKL｝三模鍵盤(黑)/有線/無線/藍牙/8kHZ/魔晶磁軸/熱插拔/Rgb
5490	10	熱賣	｛Cherry Mx8.2 Pro TMR TKL｝三模鍵盤(白)/有線/無線/藍牙/8kHZ/魔晶磁軸/熱插拔/Rgb
2490	11	熱賣	｛Keychron V5 Max｝QMK 無線機械式鍵盤(白色)/2.4g/藍牙/紅軸/中文/96%/熱插拔/Rgb
2490	13	熱賣	｛Keychron V5 Max｝QMK 無線機械式鍵盤(白色)/2.4g/藍牙/茶軸/中文/96%/熱插拔/Rgb
2490	15	熱賣	｛Keychron V5 Max｝QMK 無線機械式鍵盤(白色)/2.4g/藍牙/香蕉軸/中文/96%/熱插拔/Rgb
7990	17	熱賣	｛Cougar Speeder Elite｝電競椅-人體工學椅/透氣網布/3D扶手/瀑布式坐墊設計
1890	19	熱賣	｛海盜船 K70 Core Se｝ 機械式鍵盤(白)/有線/線性紅軸/中文/自定義多功能旋鈕/Rgb

## 【超級CP電競組合包】
1190	21	熱賣	微星 超值三件組組合包(GK30鍵盤+GM08滑鼠+GD21鼠墊)原價2219
1190	22	熱賣	亞碩(Power Master)超優質組合套餐(Km-11天蠍座 +G502 滑鼠鼠墊組)原價1980
1390	23	熱賣	微星 優質三件組組合包(GK20鍵盤+GM320滑鼠+GD21鼠墊)原價2219
2490	24	熱賣	Razer 電競組合包(Ornata V3X 鍵盤+Essential 滑鼠+BlackShark V2 X 耳機)原價4929
2890	25	熱賣	微星 戰略組合包(GK20鍵盤+Versa 300無線滑鼠+GD21鼠墊+Maestro 300耳機)原價5109
3890	26	熱賣	華碩 TUF電競組合(K3 Gen II青軸鍵盤+M4 Wireless無線滑鼠+H1 Gen II耳麥)原價5670
5555	27	熱賣	華碩 ROG暑期電競組合(Scope II X青軸鍵盤+Harpe Mini Core滑鼠+Delta S Core耳麥)原價8370
9660	28	熱賣	Razer Minecraft 組合包(BlackWidow V4 X鍵盤+Cobra滑鼠+Gigantus(中)鼠墊+Kraken V4 X耳機)
