# 18 滑鼠｜鼠墊｜數位板  (報價日期 2026/9/20 16:20)
# price	id	flags	name

## 【周邊活動促銷專區】
990	2	熱賣	〈整台主機搭購優惠〉華碩 ROG Harpe Mini Core 電競滑鼠
4990	3	熱賣 酷幣400	｛Razer Viper V4 Pro｝ 無線滑鼠(黑)/有線/無線/49g/50000Dpi/180小時的電池續航力
4990	4	熱賣 酷幣400	｛Razer Viper V4 Pro｝ 無線滑鼠(白)/有線/無線/54g/50000Dpi/180小時的電池續航力
4990	5	熱賣 酷幣400	｛Razer DeathAdder V4 Pro｝ 煉獄奎蛇雙模滑鼠(黑)/有線-無線/45000Dpi/8KHz/第四代按鍵軸
3590	7	熱賣 酷幣300	｛華碩 ROG Keris II Ace｝ 三模滑鼠(黑)/有線-無線-藍牙/42000Dpi/54g/Omni接收器
3590	8	熱賣 酷幣300	｛華碩 ROG Keris II Ace｝ 三模滑鼠(白)/有線-無線-藍牙/42000Dpi/54g/Omni接收器
4590	9	熱賣 酷幣300	｛華碩 ROG Harpe II Ace｝ 三模滑鼠(黑)/有線/無線8k/藍牙/42000Dpi/AimPoint Pro 感應/48g
4590	10	熱賣 酷幣300	｛華碩 ROG Harpe II Ace｝ 三模滑鼠(白)/有線/無線8k/藍牙/42000Dpi/AimPoint Pro 感應/48g
4590	11	熱賣 酷幣300	｛華碩 ROG Harpe II Ace｝ 三模滑鼠(熔岩紅)/有線/無線8k/藍牙/42000Dpi/AimPoint Pro 感應/48g
690	12		｛技嘉 Aorus M2｝ 電競滑鼠(黑)/有線/感應核心3327/6200dpi/RGB/歐姆龍按鍵

## 華碩 ROG 滑鼠
1090	15		｛華碩 Marshmallow MD100｝ 雙模無線滑鼠/星河紫(贈初心綠上蓋)/抗菌表層/56g(限網單)
590	16	熱賣	(主機搭購優惠)華碩 Marshmallow MD100 雙模無線滑鼠/星河紫(贈初心綠上蓋)/56g(限網單)
990	17		｛華碩 ROG Strix Impact III｝ 電競滑鼠/有線/12000Dpi/59g/可換微動/Rgb
1690	18	酷幣100	｛華碩 ROG Strix Impact III Wireless｝ 雙模滑鼠(黑)/無線/藍牙/36000Dpi/Omni接收器/Rgb
1690	20	熱賣 酷幣100	｛華碩 ROG Strix Impact III Wireless｝ 雙模滑鼠(白)/無線/藍牙/36000Dpi/Omni接收器/Rgb
2790	22	酷幣200	｛華碩 ROG Keris Wireless Aimpoint｝ 三模滑鼠(黑)/有線/無線/藍牙/36000Dpi/75g/Rgb
2790	24	酷幣200	｛華碩 ROG Keris Wireless Aimpoint｝ 三模滑鼠(白)/有線/無線/藍牙/36000Dpi/75g/Rgb
3590	26	熱賣 酷幣300	｛華碩 ROG Keris II Ace｝ 三模滑鼠(黑)/有線/無線/藍牙/42000Dpi/54g/Omni接收器
3590	27	熱賣 酷幣300	｛華碩 ROG Keris II Ace｝ 三模滑鼠(白)/有線/無線/藍牙/42000Dpi/54g/Omni接收器
3990	28	熱賣 酷幣300	｛華碩 ROG Keris II Origin｝ 三模滑鼠(黑)/有線/無線/藍牙/42000Dpi/65g/更換微動/Rgb
3990	30	熱賣 酷幣300	｛華碩 ROG Keris II Origin｝ 三模滑鼠(白)/有線/無線/藍牙/42000Dpi/65g/更換微動/Rgb
5490	32	熱賣 酷幣300	｛華碩 ROG Keris II Origin-KJP｝ 聯名無線滑鼠/有線/無線/藍牙/42000Dpi/63g/Rgb
990	33	熱賣	｛華碩 ROG Gladius III Core｝ 電競滑鼠/有線/12000Dpi/ROG二代微動開關
1690	34	酷幣100	｛華碩 ROG Gladius III｝ 電競滑鼠 /有線/19000Dpi/Omron微動開關/Rgb
2990	35	酷幣200	｛華碩 ROG Gladius III Wireless Aimpoint｝ 三模滑鼠(白)/有線/無線/藍牙/36000Dpi/Rgb
3990	37	酷幣300	｛華碩 ROG Spatha X｝ 雙模滑鼠/有線/無線/19000Dpi/12顆按鍵/可更換微動/附充電座/Rgb
1490	38	酷幣100	｛華碩 ROG Harpe Mini Core｝ 電競滑鼠/有線/12000Dpi/52g/對稱造型
990	39	熱賣	〈整台主機搭購優惠〉華碩 ROG Harpe Mini Core 電競滑鼠
3190	40	熱賣 酷幣300	｛華碩 ROG Harpe Ace Mini｝ 三模電競滑鼠(黑)/有線/無線/藍牙/42000Dpi/49g/8000Hz
3190	41	熱賣 酷幣300	｛華碩 ROG Harpe Ace Mini｝ 三模電競滑鼠(白)/有線/無線/藍牙/42000Dpi/49g/8000Hz
2990	42	酷幣200	｛華碩 ROG Harpe Ace Aim Lab｝ 三模電競滑鼠(黑)/有線/無線/藍牙/36000Dpi/54g
2990	43	酷幣200	｛華碩 ROG Harpe Ace Aim Lab｝ 三模電競滑鼠(白)/有線/無線/藍牙/36000Dpi/54g
6990	44	熱賣 酷幣300	｛華碩 ROG Harpe Ace Extreme｝ 三模電競滑鼠/有線/無線/藍牙/碳纖維外殼/47g/42000Dpi
4590	46	熱賣 酷幣300	｛華碩 ROG Harpe II Ace｝ 三模滑鼠(黑)/有線/無線8k/藍牙/42000Dpi/AimPoint Pro 感應/48g
4590	47	熱賣 酷幣300	｛華碩 ROG Harpe II Ace｝ 三模滑鼠(白)/有線/無線8k/藍牙/42000Dpi/AimPoint Pro 感應/48g
4590	48	熱賣 酷幣300	｛華碩 ROG Harpe II Ace｝ 三模滑鼠(熔岩紅)/有線/無線8k/藍牙/42000Dpi/AimPoint Pro 感應/48g

## 華碩 TUF 滑鼠
690	50		｛華碩 TUF Gaming M3 Gen II｝ 電競滑鼠/有線/Aura Sync RGB/輕量化59g/8000dpi/抗菌
990	51		｛華碩 TUF Gaming M4 Wireless｝ 無線滑鼠/無線-藍芽/12000Dpi/PBT/抗菌表面

## MSI 微星 滑鼠
490	53		｛微星 Forge GM320｝ 電競滑鼠/有線/12800Dpi/Rgb
599	54		｛微星 Clutch GM08｝ 電競滑鼠/有線/PAW 3519/4200Dpi/鍍金接頭
790	55		｛微星 Forge Gm340 W NAVY｝ 三模滑鼠/有線/無線/藍牙/12000Dpi/對稱設計/57g
790	56		｛微星 Forge Gm340 W SKY｝ 三模滑鼠/有線/無線/藍牙/12000Dpi/對稱設計/57g
790	57		｛微星 Forge Gm340 W VIOLET｝ 三模滑鼠/有線/無線/藍牙/12000Dpi/對稱設計/57g
790	58		｛微星 Forge Gm340 W WHITE｝ 三模滑鼠/有線/無線/藍牙/12000Dpi/對稱設計/57g
990	59		｛微星 Versa 300 Wireless｝ 三模無線電競滑鼠/有線/2.4g/藍牙/8000Dpi/1000Hz/60g/Rgb
1790	60		｛微星 Versa 300 Elite Wireless｝ 三模無線電競滑鼠/有線/2.4g/藍牙/26000Dpi/1000Hz/65g/Rgb
2390	61		｛微星 Versa 300 Wireless 8K｝ 三模滑鼠/有線/無線/藍牙5.3/26000Dpi/8000Hz/Omron微動
