# 19 IP分享器｜網卡｜網通設備  (報價日期 2026/9/21 14:51)
# price	id	flags	name

## 【網通促銷專區】
2999	2	熱賣	｛TP-LINK Archer GE230｝ (BE3600 / Wi-Fi 7 / 雙頻 / 3*1Gb / 1*2.5Gb / 遊戲加速技術)
5999	3	熱賣 酷幣400	｛TP-LINK Archer BE550｝ (BE9300/Wi-Fi 7/三頻/320MHz頻道/5*2.5Gb/高通晶片)

## 智慧家庭 (Tapo T110 T100 須搭配 Tapo 智慧網關)
329	5		｛ TP-LINK Tapo P105｝ 迷你型智慧 Wi-Fi 插座 (遠端控制/設定排程/語音控制)
599	6		｛ TP-LINK Tapo P105｝ 迷你型智慧 Wi-Fi 插座 兩入
499	7		｛ TP-LINK Tapo T110｝ 智慧接觸式感應器 (門窗防護裝置/即時 App 通知)
699	8		｛TP-LINK Tapo T100｝ 智慧行動感應器 (偵測範圍120度/動作感應燈/警報與應用程式通知)
699	9		｛TP-LINK Tapo H110｝ 智慧紅外線與IoT網關 (紅外線遙控/APP和語音控制/可制定排程)
699	10		｛TP-LINK Tapo L920-5｝ 智慧 Wi-Fi 多彩燈條 (語音控制/WIFI控制/可排程/50個色彩區域)
899	11		｛TP-LINK Tapo T315｝ 智慧溫濕度感測器 (2.7吋電子墨面板/即時精準監控)
999	12		｛TP-LINK Tapo H200｝智慧網關 (語音控制/智慧警報/內建19種鈴聲)
1990	13		TP-LINK 智慧家庭安全組 T110+T100+H200
2799	14		TP-LINK 智慧家庭安全燈光組 T110+T100+H200+L920-5
4399	15		｛TP-LINK Tapo H500｝ 智慧網關 (可擴2.5 HDD/SSD本地儲存/無須接線簡單安裝/AI 偵測)
1999	16		｛TP-LINK Tapo D210｝ 視訊門鈴 (電池續航六個月/2K/160度視角/全彩夜視/IP65防水防塵)
2399	17	熱賣	【組合優惠】TP-LINK Tapo D210 視訊門鈴 + 金士頓 Canvas Select+ 128G $2687↘
3299	18		｛TP-LINK Tapo D235｝視訊門鈴(電池續航210天/2K/180度視角/全彩夜視/IP66防水防塵)

## 電力線網路(HomePlug)
1399	20		｛TP-LINK TL-PA7017 KIT ｝AV1000 / 電力線 / 1Gb / 延伸網路 / 隨插即用
1999	21		｛TP-LINK TL-WPA7517 KIT｝AV1000 / 電力線 / 雙頻/ AC1200 / 1Gb / WiFi延伸

## 內接式有線網路卡
299	23		｛TP-LINK TG-3468｝【1Gb】有線網卡 / RJ45 / PCIe介面
599	24		｛TP-LINK TX201｝【2.5Gb】單埠高速有線網路卡 / RJ45 / PCIe介面
1099	25		｛TP-LINK TX301｝【5Gb】單埠高速有線網路卡 / RJ45 / PCIe介面
1999	26		｛TP-LINK TX401｝【10Gb】單埠高速有線網路卡 / RJ45 / PCIe介面
