# 22 喇叭｜耳機｜麥克風  (報價日期 2026/9/19 15:41)
# price	id	flags	name

## 【促銷強打活動】
3990	2	熱賣 酷幣300	｛華碩 ROG Pelta｝ 無線三模耳機(黑)/有線-2.4g-藍牙/鍍鈦單體/吊桿式麥克風/Rgb
3990	3	熱賣 酷幣300	｛華碩 ROG Delta S Wireless｝ 無線耳機/無線-藍牙/Ai降噪/50mm單體
7490	4	熱賣 酷幣300	｛華碩 ROG Delta II｝ 無線三模電競耳機(黑)/有線/2.4G/藍芽/鍍鈦單體/Dual Flow技術/Rgb
9890	6	熱賣	｛海盜船 Virtuoso Max Wireless｝ 雙模耳機(黑)/無線-藍牙/杜比/主動式降噪/全指向麥克風
9890	7	熱賣	｛海盜船 Virtuoso Max Wireless｝ 雙模耳機(銀)/無線-藍牙/杜比/主動式降噪/全指向麥克風
2990	8	熱賣 酷幣150	｛Razer BlackShark V2 HyperSpeed｝ 三模耳機(黑)/有線/無線/藍牙/THX認證/70小時續航/輕量化
2990	9	熱賣 酷幣150	｛Razer BlackShark V2 HyperSpeed｝ 三模耳機(白)/有線/無線/藍牙/THX認證/70小時續航/輕量化
3290	10	熱賣 酷幣250	｛Razer BlackShark V3X HyperSpeed｝ 三模耳機/有線/無線/藍牙/TriForce驅動單體/心型指向麥克風
3290	11	熱賣	｛HyperX Cloud Stinger 3｝ 無線耳機(白)/2.4g/藍牙/超長續航/50mm單體/降噪麥克風/PS可用

## 麥克風
5490	14	熱賣	｛華碩 Rog Carnyx｝ 電容式麥克風(黑)/192 kHz-24/高通濾波器/內建防噴網罩/金屬減震架
5490	16	熱賣	｛華碩 Rog Carnyx｝ 電容式麥克風(白)/192 kHz-24/高通濾波器/內建防噴網罩/金屬減震架
2290	18		｛羅技 G Yeti Orb Usb｝ 麥克風(黑)/電容式麥克風/心型收音模式/Rgb
2290	19		｛羅技 G Yeti Orb Usb｝ 麥克風(白)/電容式麥克風/心型收音模式/Rgb
4990	20		｛羅技 G Yeti Gx Usb｝ 麥克風(黑)/動態麥克風收音頭/超級心型收音模式/智慧音訊鎖定/Rgb
4990	21		｛羅技 G Yeti Gx Usb｝ 麥克風(白)/動態麥克風收音頭/超級心型收音模式/智慧音訊鎖定/Rgb
3490	22		｛Blue Yeti Nano｝ 麥克風(灰)/Usb/心型和全向收音模式/靜音控制/無延遲耳機輸出
3490	23		｛Blue Yeti Nano｝ 麥克風(黑)/Usb/心型和全向收音模式/靜音控制/無延遲耳機輸出
4990	24		｛Blue Yeti｝ 麥克風 (黑)/Usb/3 受音頭技術/心型、雙向、全向、立體聲模式/側向式
4990	25		｛Blue Yeti｝ 麥克風 (藍)/Usb/3 受音頭技術/心型、雙向、全向、立體聲模式/側向式
4990	26		｛Blue Yeti｝ 麥克風 (炫光白)/Usb/3 受音頭技術/心型、雙向、全向、立體聲模式/側向式
4990	27		｛Blue Yeti｝ 麥克風 (粉)/Usb/3 受音頭技術/心型、雙向、全向、立體聲模式/側向式
1990	28	熱賣	｛圓剛 BA311L｝ 輕巧多角度創作者支架/360°旋轉功能和三個可調節關節
1575	29		｛圓剛 AM310G2｝ 黑鳩 麥克風/有線Usb-c/心型指向/96kHz/24/AI降噪技術/即時聲音監控
2990	30	熱賣	｛圓剛 AM350｝ 黑鳩 電容式麥克風/有線USB/防爆音/多重降噪設計
1490	31	熱賣	｛HyperX SoloCast 2｝ 麥克風/有線/心型指向/內建防震架與防噴濾網
1790	32	熱賣	｛HyperX DuoCast｝ USB 麥克風/觸控式靜音/狀態指示燈/Rgb
3490	34	酷幣300	｛HyperX QuadCast 2｝ 電競麥克風(黑)/有線/USB供電/觸控式靜音控制/內建防震支架
3890	35	酷幣300	｛HyperX QuadCast 2｝ 電競麥克風(白)/有線/USB供電/觸控式靜音控制/內建防震支架
3990	36	熱賣 酷幣300	｛HyperX QuadCast 2S｝ 電競麥克風/有線/USB供電/觸控式靜音控制/內建防震支架/多功能旋鈕/Rgb
1288	37		｛Razer Seiren V3 Mini｝ 魔音海妖 麥克風(黑)/電容式/超心型指向收音模式/內建防震器
1288	38		｛Razer Seiren V3 Mini｝ 魔音海妖 麥克風(粉)/電容式/超心型指向收音模式/內建防震器
1288	39		｛Razer Seiren V3 Mini｝ 魔音海妖 麥克風(白)/電容式/超心型指向收音模式/內建防震器
2990	40		｛Razer Seiren V3 Chroma｝ 魔音海妖 麥克風(黑)/有線/超心型指向電容式/AI智慧音訊處理
2990	41		｛Razer Seiren V3 Chroma｝ 魔音海妖 麥克風(白)/有線/超心型指向電容式/AI智慧音訊處理
2990	42		｛Razer Seiren V3 Chroma｝ 魔音海妖 麥克風(粉)/有線/超心型指向電容式/AI智慧音訊處理
8390	43		｛Razer Seiren V3 PRO｝ 魔音海妖 麥克風/雙TypeC&XLR連接/30mm動態收音頭/內建防震器
2190	44	熱賣	Razer BlackShark V2 X 電競耳機(黑)+Razer Seiren V3 Mini 麥克風(三色擇一)(組合優惠)

## 羅技 喇叭
1890	46		｛羅技 Ue Miniroll｝ 藍芽喇叭(潮玩黑)/最高12小時使用/最多2台裝置/防塵-防水
1890	47		｛羅技 Ue Miniroll｝ 藍芽喇叭(海水藍)/最高12小時使用/最多2台裝置/防塵-防水
1890	48		｛羅技 Ue Miniroll｝ 藍芽喇叭(質感灰)/最高12小時使用/最多2台裝置/防塵-防水
1890	49		｛羅技 Ue Miniroll｝ 藍芽喇叭(蜜糖粉)/最高12小時使用/最多2台裝置/防塵-防水
2490	50		｛羅技 Wonderboom 4｝防水無線藍牙喇叭(潮玩黑)/360°環繞音效/Usb-C接口/防塵-防污-防水
2490	51		｛羅技 Wonderboom 4｝防水無線藍牙喇叭(海水藍)/360°環繞音效/Usb-C接口/防塵-防污-防水
2490	52		｛羅技 Wonderboom 4｝防水無線藍牙喇叭(質感灰)/360°環繞音效/Usb-C接口/防塵-防污-防水
2490	53		｛羅技 Wonderboom 4｝防水無線藍牙喇叭(蜜糖粉)/360°環繞音效/Usb-C接口/防塵-防污-防水
749	54		｛羅技 Z150｝ 二件式喇叭(黑)/有線/耳機孔/清晰的立體聲/操控方便/3W
1450	55		｛羅技 Z200｝ 二件式喇叭(黑)/有線/低音調整/耳機孔
1790	56		｛羅技 Z313｝ 2.1聲道喇叭(三件式)/有線/總輸出功率:50w Rms
3690	57	酷幣200	｛羅技 Z407｝ 藍牙喇叭/無線藍牙5.0/總輸出功率:80W Rms
3990	58	酷幣200	｛羅技 Z623｝ 2.1聲道喇叭(三件式)/有線/輸出功率:200w Rms/Thx
6490	59	酷幣200	｛羅技 G560｝ 電競喇叭(三件式)/有線/藍牙/總輸出功率:120w Rms/Rgb/環繞音效
9790	60	酷幣200	｛羅技 Z906｝ 5.1聲道喇叭(六件式)/有線/總輸出功率:500w Rms/杜比/THX

## Ktnet 喇叭
150	62		｛Ktnet Q21｝ Usb 二件式 迷你多媒體喇叭/USB供電/即插即用/迷你輕巧方便攜帶/3W*2
199	63		｛Ktnet Q61｝ Usb 二件式 多媒體有線喇叭/USB供電/高中低音層次分明/立體聲環繞音效/3W*2
220	64		｛Ktnet Q71｝ Rgb 多媒體Usb喇叭/USB供電/RGB炫彩燈效/線控式音量控制器/3W*2
299	65		｛Ktnet QB81｝ 二件式藍牙喇叭/USB供電/藍牙+3.5Aux/RGB炫彩/線控式音量控制器/3W*2
299	66		｛Ktnet QS100｝ Usb LED 單件多媒體立體聲喇叭/USB供電/雙50mm喇叭單體

## Razer 喇叭
3990	68	酷幣300	｛Razer Nommo V2 X｝ 天狼星 喇叭/有線-藍牙5.0/2個3吋全音域驅動單體/虛擬7.1
