# 23 燒錄器 CD/DVD/BD  (報價日期 2026/9/21 14:51)
# price	id	flags	name

## 終極DVD燒錄器 SATA介面
890	3		｛華碩 DRW-08D6MT｝8XHHDVD緊湊型內接燒錄器(黑) / 支援M-Disc

## USB DVD外接燒錄器
849	5	熱賣	｛華碩 SDRW-08D2S-U｝8XDVD外接燒錄器(黑) / 支援Mac
849	6		｛華碩 SDRW-08D2S-U｝8XDVD外接燒錄器(白) / 支援Mac
990	7		｛華碩 SDRW-08U9M-U｝超薄 / 8XDVD(黑) / 支援M-Disc / 內含Type A、C連接線
990	8		｛華碩 SDRW-08U9M-U｝超薄 / 8XDVD(銀) / 支援M-Disc / 內含Type A、C連接線
990	9		｛華碩 SDRW-08U7C-U｝超薄 / 8XDVD(黑) / 支援M-Disc / 內含Type C連接線 / 燒錄片*3

## USB 外接藍光COMBO燒錄器
2990	11		｛華碩 SBC-06D2X-U｝藍光COMBO燒錄器 / 6X藍光讀 / 8XDVD燒錄 / 含直立架(黑)

## USB 外接藍光燒錄器
3290	13		｛華碩 SBW-06D2X-U｝6X 藍光燒錄器 / 支援Mac / 附直立架
4990	14		｛華碩 BW-16D1H-U PRO｝16X藍光燒錄器 / USB5G / 黑 / 附支架 / 支援Mac
