# 24 USB週邊｜硬碟座｜讀卡機  (報價日期 2026/9/18 14:19)
# price	id	flags	name

## 高速 M.2外接盒
888(原999)	4	價格異動 下殺	｛華碩 ESD-A1A 墨石黑｝Cobble / 雙模 / IP55 / USB-C to C▼下殺到 9/30 23:59
888(原999)	5	價格異動 下殺	｛華碩 ESD-A1A 塵霧灰｝Cobble / 雙模 / IP55 / USB-C to C▼下殺到 9/30 23:59
1088(原1290)	6	價格異動 下殺	｛華碩 ESD-T1A｝TUF Gaming A1 / 雙模 / USB-C to C▼下殺到 9/30 23:59
1188(原1590)	8	價格異動 下殺	｛華碩 ESD-S1C Lite｝ROG Strix Arion Lite / NVMe / USB-C to C▼下殺到 9/30 23:59
1790	10		｛華碩 ESD-S1C 黑｝ROG Strix Arion / NVMe / 附雙USB線
1890	12		｛華碩 ESD-S1C 白｝ROG Strix Arion / NVMe / 附雙USB線
1690	14		｛酷碼 Oracle Air｝NVMe / 鋁合金 / 免螺絲快拆設計 / 雙層散熱
699	15		｛CyberSLIM M2E｝NGFF / NVMe / 灰 / 免螺絲 / USB-A to C
650	16		｛伽利略 M2NVU35｝黑 / 鋁合金 / 免螺絲 / 翻蓋式 / USB-A、C
785	17		｛伽利略 M2NVU32｝雙模 / 黑 / 鋁合金 / 免螺絲 / USB-A、C
900	18		｛伽利略 NV10GB｝鋁合金 / 免螺絲 / 翻蓋式 / USB-A、C
1170	19		｛銀欣 RVS03｝雙模 / 黑 / USB-C to C
1100(原1250)	20	價格異動 下殺	｛銀欣 MS13｝雙模 / 黑 / RGB / USB-A、C▼下殺到 9/30 23:59
499	21		｛KTnet EM500｝NVMe / 黑 / 鋁合金 / USB-C to C
699	22		｛KTnet EM600｝雙模 / 黑 / 鋁合金 / USB-C to C、A
599	23		｛Probox HM6-P32C｝NVMe / 銀 / 鋁合金 / USB-C to C
399	24	熱賣	【M.2加購價】｛Apexgaming M2E-01S｝雙模 / USB-C to A
899	25		｛Apexgaming M2E-01S｝雙模 / 銀 / RGB / 鋁合金 / USB-C to A
1588(原1990)	27	價格異動 下殺	｛華碩 ESD-T1W｝TUF Gaming A2 / 雙模 / USB-C to C▼下殺到 9/30 23:59
2490	29		｛華碩 ESD-S1W｝ROG Strix Aiolos / 雙模 / USB-C to C
2250	30		｛伽利略 DMC322B｝【雙槽】雙M.2硬碟外接拷貝機 / USB-A、C
1590(原1850)	32	價格異動 下殺	｛銀欣 MS12｝NVMe / 黑 / 20Gb / USB-C to C▼下殺到 9/30 23:59
2790	34		｛華碩 ESD-P1NL｝ProArt PA40SU / 四段式智慧風扇
3690	35		｛CyberSLIM M2-U4｝NVMe / 黑 / 免螺絲 / USB-C
1990	36		｛伽利略 M2NVU4F｝鋁合金 / 散熱風扇 / 翻蓋式 / 免螺絲 / USB-C
2790	37		｛銀欣 MS12-40G｝NVMe / 黑 / 40Gb / USB-C to C
2499	38		｛Probox HM7-P4C｝NVMe / 銀 / 鋁合金 / USB-C to C

## 2.5吋 硬碟外接盒
299	42	熱賣	｛伽利略 HD-332U31S｝黑 / 可拆式硬碟連接器 / 支援UASP
280	43		｛伽利略 HD-336U31S｝透明 /免螺絲設計 / 支援UASP
240	44		｛伽利略 HD-335U31S｝黑 / 免螺絲設計 / 支援UASP / 鋁合金
477	45		｛創見 StoreJet 25CK3｝黑 / 軍規防震外殼 / 支援7及9.5mm / 二年保
390	46		｛創見 StoreJet 25S3｝銀 / 鋁合金外殼 / 支援UASP / 二年保
239	47	熱賣 酷幣9	｛CyberSLIM V25U3 黑｝免螺絲 / 快速抽換設計
239	48	酷幣9	｛CyberSLIM V25U3 白｝免螺絲 / 快速抽換設計
499	49		｛銀欣 TS15｝黑 / 鋁合金 / USB-C / 額外提供USB-A*2擴充埠
480	51		｛伽利略 HD-333U31S｝黑 / USB-A / 可拆式硬碟連接器
380	52		｛CyberSLIM B25U31 黑｝免螺絲 / USB-A / 支援UASP
380	53		｛CyberSLIM B25U31 紅｝免螺絲 / USB-A / 支援UASP

## 3.5吋 硬碟外接盒
630	55		｛伽利略 35C-U3B｝【雙尺寸/USB5G】免螺絲設計 / 內建風扇 / 支援20TB硬碟
690	56		｛伽利略 35C-U3D｝【雙尺寸/USB5G】鋁合金 / 可直立 / 支援20TB硬碟
990	57		｛伽利略 325-5G｝【雙尺寸/USB5G】抽取式 / 鋁合金 / 支援20TB硬碟
2980	58		｛伽利略 35D-U3ES｝【雙尺寸/USB5G/4Bay】免螺絲 / eSATA / 支援20TB硬碟
4199	60	訂購	｛伽利略 35D-U315｝【雙尺寸/USB10G/5Bay】USB-C / 免螺絲抽換 / 單顆20TB【訂】
7500	62	訂購	｛伽利略 35D-U38｝【雙尺寸/USB5G/8Bay】免螺絲抽換 / 單顆22TB【訂】
490	64		｛CyberSLIM V80-6G｝【3.5吋/USB5G】免螺絲設計 / 內層防震 / 單顆10TB
3890	65	訂購	｛世暉 ProBox HF7-SU31C｝【3.5吋/USB10G/4Bay】外接盒 / Type-C【訂】

## 磁碟陣列外接盒
890	67		｛伽利略 HD-339U32R｝【2.5吋/USB5G/2Bay】鋁合金 / USB-A、C
1290	68		｛伽利略 HD-338U32R｝【雙尺寸/USB5G/2Bay】鋁合金 / USB-A、C
2290	69		｛伽利略 35D-U322RMS｝【雙尺寸/USB10G/2Bay】鋁合金 / USB-A、C / 抽取式
4299	70		｛伽利略 35D-U324NSR｝【三尺寸/USB10G/4Bay】NvMe / SATA / USB-C / 抽取式
4890	71		｛伽利略 35D-U3ES5R｝【雙尺寸/USB5G/5Bay】USB-A / 抽取式

## M.2 PCIe 外接硬碟座
650	74		｛伽利略 M2NVU36｝【M.2/USB10G】雙規 / 鋁合金 / USB-A、C
1990	75		｛伽利略 DMC322D｝【M.2/USB20G/2Bay】硬碟對烤座 / USB-A、C
2690	76		｛伽利略 DMC322E｝【M.2/USB20G/2Bay】硬碟對烤座 / 風扇 / USB-A、C
499	77		｛CyberSLIM M2F｝【M.2/USB10G】雙規 / 無須額外供電 / 獨立電源按鈕 / USB-C
1690	78		｛CyberSLIM M2-DC｝【M.2/USB20G/2Bay】硬碟對烤座 / USB-A、C
1999	79		｛Probox HM8-P32C｝【M.2/USB20G/2Bay】硬碟對烤座 / USB-C

## 3.5吋 / 2.5吋 外接硬碟座
1520	81		｛伽利略 CU3H09B｝【雙尺寸/2Bay】USB(5G*3A) + 快充(1A) / 支援20TB
1350	82		｛伽利略 RHU07｝【雙尺寸/3Bay】USB(5G*2A) / 支援20TB
630	83		｛伽利略 RHU11｝【雙尺寸/1Bay】隨插即用 / 支援UASP / 支援18TB
999	84		｛伽利略 2535C-U32MS｝【三尺寸/ USB10G/1Bay】隨插即用 /支援20TB
1299	85		｛伽利略 2535B-U3I2S｝【雙尺寸/USB5G/3Bay】離線備份 / 支援IDE
493	87		｛CyberSLIM S1-DS6G｝【雙尺寸/1Bay】支援20TB
828	88		｛CyberSLIM S2-U3C 6G Plus｝【雙尺寸/2Bay】離線備份 / 支援20TB
3600	89		｛CyberSLIM S4-U3 ｝【雙尺寸/4Bay】一對三對烤 / 離線備份
699	90		｛UNITEK Y-1078｝【雙尺寸/1Bay】USB5G

## USB3.2 Gen1 HUB
249	94		｛伽利略 PEC-HS080｝【4Port/USB5G】USB(4A)
360	95		｛伽利略 AB3-L412｝【4Port/USB5G】USB(4A) / 線長120CM
459	96		｛伽利略 CA3H2RA｝【5Port/USB5G】USB(2A1C) / Micro SD / SD
515	97		｛伽利略 CU3GL04A｝【3Port/USB5G】USB(3A) / RJ45 / USB-A、C
1230	98		｛伽利略 PEC-HC707｝【7Port/USB5G】USB(7A) / 獨立開關 / 專用變壓器 / 鋁合金
620	99		｛伽利略 H418S-BK｝【4Port/USB10G】USB(4A) / 線長80CM / 黑
620	100		｛伽利略 H418S-WH｝【4Port/USB10G】USB(4A) / 線長80CM / 銀
850	101		｛伽利略 H418S-BK + 專用變壓器｝【4Port/USB10G】USB(4A) / 線長80CM / 黑
850	102		｛伽利略 H418S-WH + 專用變壓器｝【4Port/USB10G】USB(4A) / 線長80CM / 銀
1290	103		｛伽利略 H718S-BK｝【7Port/USB10G】USB(7A) / 鋁合金 / 黑 / 專用變壓器
199	104		｛CyberSLIM U3HUB4｝【4Port/USB5G】USB(4A) / 白
199	106		｛伽利略 U3H390S｝【4Port/USB10G】USB(10G*1A / 480M*3A) / USB-A、C
520	107		｛伽利略 CUHR2C｝【4-in-1/USB5G】四合一多功能HUB
540	109		｛伽利略 CU32H2AC｝【4Port/USB10G】USB(2A2C)
1590	110		｛伽利略 H718AC-BK｝【7Port/USB10G】USB(4A3C) / 鋁合金 / 專用變壓器
1150	111		｛伽利略 U6HDP｝【6-in-1/USB10G】六合一多功能HUB
1750	113		｛伽利略 U10HLR｝【10-in-1/USB10G】十合一多功能HUB
1790	115		｛伽利略 CM073｝【10-in-1/USB10G】十合一多功能HUB
2100	117		｛伽利略 H1010G｝【10Port/USB10G】USB(6A4C) / 鋁合金 / 專用變壓器
469	118		｛3C Pig TC-UJ｝【4Port/USB5G】USB(3A) / RJ-45
499	119		｛3C Pig TC-UC｝【4Port/USB10G】USB(2A2C)
565	120		｛3C Pig TC-TCUH｝【3Port/USB5G】USB(1A1C) / 4K HDMI*1
690	121		｛3C Pig TC-URHC｝【4Port/USB5G】USB(1A1C) / 4K HDMI*1 / RJ45*1
990	122		｛3C Pig TC-COMBO｝【10-in-1/USB5G】十合一多功能HUB
699(原899)	125	價格異動 下殺	｛Gigastone HUB-P7｝【7Port/USB5G】USB(2A2C) / MicroSD、SD / HDMI▼下殺到 9/30 23:59
629(原799)	126	價格異動 下殺	｛Gigastone HUB-P870｝【8Port/USB5G】USB(2A2C) / MicroSD / SD / HDMI / RJ-45▼下殺到 9/30 23:59
750	127		｛Ktnet T701｝【7Port/USB5G】USB(1A1C) / MicroSD、SD / HDMI / RJ-45
599	128		｛UNITEK V1126A｝【2Port/USB5G】HDMI 4K60Hz / VGA MST轉接器
539	129		｛UNITEK D1049A｝【4Port/USB5G】HDMI / VGA / USB(1A1C(PD))
1399	130		｛UNITEK V1404B｝【2Port/USB5G】雙HDMI 4K60Hz MST轉接器

## Docking Station
4290	132		｛ASUS ROG Bulwark Dock DG300｝ USB(10G*3A1C) / RJ-45 / HDMI2.1 七合一基座
1150	133		｛伽利略 U13HLR｝【13-in-1】十三合一 多功能擴充盒
1650	135		｛UNITEK D1022A｝【11-in-1】十一合一 多功能擴充底座

## 讀卡機
590	139		｛伽利略 RHU03｝多介面 / 雙Micro SD / USB(480M*3A / 5G*2A) / 晶片卡
209	141		｛伽利略 RU056｝IC晶片讀卡機 / 自然人憑證 / 報稅 / 網路ATM / 白
199	142		｛伽利略 G-C230｝多合一讀卡機 / IC 晶片卡 / MSXC / SDHC / SDXC / 黑
290	143		｛伽利略 SCR812｝多合一讀卡機 / 直立式 / IC 晶片卡 / Micro SD / 黑
149	144		｛力祥 EZ100PU(NK0119)｝IC晶片卡 / 自然人憑證 / 報稅 / 網路ATM
196	147		｛創見 TS-RDF5K 黑｝支援SD / MicroSD / 二年保
196	148		｛創見 TS-RDF5W 白｝支援SD / MicroSD / 二年保
299	149		｛伽利略 RU064｝USBA、C雙介面高速170MB/s讀卡機 / 支援SD / MicroSD
499	150		｛UNITEK Y-9313D｝USB-A、C 讀卡機 CF / SD / Micro SD
