# 25 行車紀錄器｜USB視訊鏡頭  (報價日期 2026/9/20 16:20)
# price	id	flags	name

## 視訊鏡頭
2990	2	酷幣300	｛Razer Kiyo V2 X｝ 清姬 直播網路攝影機(黑)/1440P 60FPS/自動對焦/廣角鏡頭/內建麥克風
2990	3	酷幣300	｛Razer Kiyo V2 X｝ 清姬 直播網路攝影機(白)/1440P 60FPS/自動對焦/廣角鏡頭/內建麥克風
2990	4	酷幣300	｛Razer Kiyo V2 X｝ 清姬 直播網路攝影機(粉)/1440P 60FPS/自動對焦/廣角鏡頭/內建麥克風
4490	5	酷幣500	｛Razer Kiyo V2-4K｝ 清姬 直播網路攝影機(黑)/4K 30FPS/AI自動取景/一鍵影像強化/HDR
4490	6	酷幣500	｛Razer Kiyo V2-4K｝ 清姬 直播網路攝影機(白)/4K 30FPS/AI自動取景/一鍵影像強化/HDR
4490	7	酷幣500	｛Razer Kiyo V2-4K｝ 清姬 直播網路攝影機(粉)/4K 30FPS/AI自動取景/一鍵影像強化/HDR
3490	8		｛圓剛 PW313D｝ 雙鏡頭網路攝影機/Ai降噪麥克風/自動對焦/附腳架/CamEngine免費軟體
935	9		｛圓剛 PW313｝ 高畫質網路攝影機/動態1080P 30FPS/靜態200萬畫素/旋轉式鏡頭/固定對焦
1590	10	熱賣	｛圓剛 PW315｝ 高畫質定焦網路攝影機/AI人臉追蹤、美肌、AR臉部動態濾鏡/超廣角/雙麥克風
3790	11	熱賣	｛圓剛 PW513 4K｝ 高畫質網路攝影機/2160P 30Fps/800萬像素/固定對焦/94°廣角/Sony感光
4590	12		｛圓剛 PW515 4K｝ 自動對焦AI網路攝影機/Sony感光/超廣角100°/HDR/3D影像降噪(3DNR)技術
799	13		｛羅技 C270｝ /動態HD720P/靜態300萬畫素/有線/單聲道麥克風/固定焦距
3390	14		｛羅技 C922 Pro Stream｝ /動態1080P 30FPS/軟體最高1500萬畫素/附腳架/自動對焦
1290	15		｛羅技 Brio 100｝ 網路攝影機 石墨黑/1080p 30Fps/USB/200萬畫素/自動光線校正
1290	16		｛羅技 Brio 100｝ 網路攝影機 珍珠白/1080p 30Fps/USB/200萬畫素/自動光線校正
1290	17		｛羅技 Brio 100｝ 網路攝影機 玫瑰粉/1080p 30Fps/USB/200萬畫素/自動光線校正
1990	18		｛羅技 Brio 300｝ 網路攝影機 石墨黑/1080p 30Fps/USB-C/200萬畫素/自動光線校正/1倍數位變焦
1990	19		｛羅技 Brio 300｝ 網路攝影機 珍珠白/1080p 30Fps/USB-C/200萬畫素/自動光線校正/1倍數位變焦
1990	20		｛羅技 Brio 300｝ 網路攝影機 玫瑰粉/1080p 30Fps/USB-C/200萬畫素/自動光線校正/1倍數位變焦
3590	21		｛羅技 Brio 500｝ 網路攝影機 石墨黑/1080p 30Fps/USB-C/400萬畫素/自動對焦/4倍數位變焦
3590	22		｛羅技 Brio 500｝ 網路攝影機 珍珠白/1080p 30Fps/USB-C/400萬畫素/自動對焦/4倍數位變焦
3590	23		｛羅技 Brio 500｝ 網路攝影機 玫瑰粉/1080p 30Fps/USB-C/400萬畫素/自動對焦/4倍數位變焦
6990	24		｛羅技 MX Brio Ultra HD｝ 網路攝影機 石墨黑/1920x1080 60Fps/500萬畫素/自動光線校正
6990	25		｛羅技 MX Brio Ultra HD｝ 網路攝影機 珍珠白/1920x1080 60Fps/500萬畫素/自動光線校正

## 【機車用可攜式-行車記錄器】
1999	27	熱賣 酷幣200	｛Mio MP20｝ 勁系列 前後雙鏡頭機車行車記錄器/1080P/30fps/IP67防水防塵/支援Ota更新
3488	28	熱賣 酷幣500	｛Mio MP30｝ 勁系列 2K前後雙鏡頭機車行車記錄器/1440P/IP67防水防塵/支援Ota更新
