# 29 OS+應用軟體｜禮物卡  (報價日期 2026/9/18 14:19)
# price	id	flags	name

## Microsoft Windows 11 隨機版 (序號類商品一經售出不接受退貨)
4590	3		Windows 11 中文家用隨機版 64位元
5990	4		Windows 11 Pro 中文專業隨機版 64位元 (網域/遠端/加密/Hyper-V)
4390	6		Windows 11 英文家用隨機版 64位元【客訂】

## Microsoft Windows 11 彩盒版(序號類商品一經售出不接受退貨)
4790	9		Windows 11 中文家用彩盒版 64位元 (USB)
6790	10		Windows 11 Pro 中文專業彩盒版 64位元 (網域/遠端/加密/Hyper-V/USB)

## Microsoft Office 實體彩盒版 (序號類商品一經售出不接受退貨)
5490	13		Office 2024 家用版 (Word/Excel/PowerPoint)
8990	14		Office 2024 家用及中小企業版 (家用版+Outlook)
2790	15		Microsoft 365 個人版 一年(一個帳號最多使用5個裝置)+1TB雲端/隨附AI助理Copilot
3490	16		Microsoft 365 家用版 一年(六個帳號每人可同時5個裝置)+1TB雲端/隨附AI助理Copilot

## Microsoft Office ESD 數位下載版(序號類商品一經售出不接受退貨)
2890	18		Microsoft 365 個人版一年ESD版 (一個帳號最多使用5個裝置)+1TB雲端/AI助理Copilot
3790	19		Microsoft 365 家用版一年ESD版(六個帳號每人可同時5個裝置)+1TB雲端/AI助理Copilot

## 防毒軟體 卡巴斯基 kaspersky(序號類商品一經售出不接受退貨)
560	22		卡巴斯基 標準版/隱私防護/線上銀行業務保護/監控惡意軟體 1台1年/無附光碟
990	23		卡巴斯基 標準版/隱私防護/線上銀行業務保護/監控惡意軟體 1台2年/無附光碟
713	24		卡巴斯基 進階版 1台1年 (標準版+無限、快速 VPN)/無附光碟
1426	25		卡巴斯基 進階版 1台2年 (標準版+無限、快速 VPN)/無附光碟
